parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[60],-0.172,0.04,-0.264,-0.103,0.011,0.008,16.0,23.0,1.46,-15.80208268315001,-23.202646034329387,-9.78730265184835,,,
practice_intercept_offset[61],0.068,0.033,-0.001,0.136,0.012,0.008,9.0,17.0,3.1,7.036530847877431,-0.0999500166624978,14.568189359486183,,,
practice_intercept_offset[62],-0.199,0.036,-0.284,-0.136,0.011,0.007,13.0,23.0,1.67,-18.04501066670744,-24.72333552938037,-12.71573675112807,,,
practice_intercept_offset[63],0.117,0.035,0.044,0.19,0.012,0.009,9.0,18.0,2.66,12.41194296905368,4.498235488844382,20.92495976572515,,,
practice_intercept_offset[64],-0.613,0.033,-0.676,-0.567,0.011,0.005,10.0,29.0,2.36,-45.82767408970591,-49.13524813196864,-43.27754375731159,,,
practice_intercept_offset[65],0.463,0.042,0.388,0.555,0.015,0.011,9.0,14.0,3.51,58.88333424160801,47.40297842881416,74.19409847740755,,,
practice_intercept_offset[66],0.261,0.039,0.171,0.326,0.013,0.011,9.0,18.0,3.2,29.822766543369,18.64907490217118,38.54153688727846,,,
practice_intercept_offset[67],-0.049,0.033,-0.131,-0.0,0.011,0.01,9.0,21.0,2.67,-4.781887030149512,-12.278222560895646,0.0,,,
practice_intercept_offset[68],-0.102,0.035,-0.187,-0.043,0.011,0.009,13.0,23.0,1.69,-9.697044833112322,-17.05562636145961,-4.208860993296937,,,
practice_intercept_offset[69],0.649,0.047,0.565,0.747,0.016,0.011,9.0,15.0,3.41,91.36262456361196,75.9447782721815,111.0658533543552,,,
practice_intercept_offset[70],-0.257,0.033,-0.34,-0.218,0.011,0.01,10.0,23.0,2.16,-22.66317862345509,-28.82296772373904,-19.58745583334404,,,
practice_intercept_offset[71],0.234,0.038,0.148,0.3,0.013,0.01,9.0,20.0,2.97,26.364449220777782,15.951289636297394,34.98588075760032,,,
