parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_intercept_offset[6045],0.198,0.027,0.155,0.251,0.009,0.005,10.0,23.0,2.51,21.896239382164275,16.765796110512497,28.53100843311953
practice_intercept_offset[6046],-0.634,0.073,-0.794,-0.506,0.024,0.014,9.0,15.0,2.77,-46.953431113802516,-54.796695797658536,-39.70976284961579
practice_intercept_offset[6047],-0.964,0.044,-1.048,-0.871,0.014,0.009,10.0,13.0,2.18,-61.86356265058105,-64.9361675048307,-58.14671928956419
practice_intercept_offset[6048],-1.41,0.054,-1.492,-1.296,0.018,0.01,9.0,18.0,2.72,-75.58567168465629,-77.50776393266757,-72.63758966295919
practice_intercept_offset[6049],-3.456,0.036,-3.526,-3.386,0.008,0.003,23.0,61.0,1.25,-96.84442671598762,-97.05776297172656,-96.6156218363495
practice_intercept_offset[6050],0.448,0.039,0.391,0.513,0.013,0.004,10.0,15.0,2.46,56.517869565352164,47.84585134131471,67.02945698405354
practice_intercept_offset[6051],0.038,0.032,-0.012,0.104,0.011,0.006,9.0,23.0,2.82,3.873123287849767,-1.1928287138069482,10.960045491558246
practice_intercept_offset[6052],-3.362,0.035,-3.428,-3.292,0.009,0.004,16.0,30.0,1.42,-96.53341421489236,-96.75482205284615,-96.28205838445248
practice_intercept_offset[6053],-1.726,0.039,-1.798,-1.647,0.01,0.004,14.0,45.0,1.53,-82.20050322220366,-83.4370183183685,-80.73730765639216
practice_intercept_offset[6054],-0.469,0.034,-0.528,-0.41,0.011,0.003,11.0,41.0,1.91,-37.43724168436893,-41.02166423871496,-33.63497498636806
practice_intercept_offset[6055],-3.006,0.039,-3.08,-2.929,0.006,0.001,41.0,249.0,1.12,-95.05107596647619,-95.40407433509557,-94.65495381092369
practice_intercept_offset[6056],0.214,0.042,0.144,0.293,0.014,0.007,9.0,25.0,2.96,23.862265479345226,15.488410852491352,34.04427904316813
practice_intercept_offset[6057],-3.595,0.053,-3.7,-3.498,0.015,0.005,14.0,50.0,1.56,-97.25393168239839,-97.52764735296606,-96.97421613757868
practice_intercept_offset[6058],-1.642,0.051,-1.727,-1.536,0.017,0.01,9.0,18.0,2.58,-80.64075300921161,-82.21829382219892,-78.47596568294824
practice_intercept_offset[6059],0.656,0.042,0.575,0.724,0.014,0.006,10.0,38.0,2.16,92.7068622785935,77.71305269140383,106.26674008880342
practice_intercept_offset[6060],0.417,0.037,0.338,0.476,0.013,0.007,9.0,22.0,2.81,51.74025129350848,40.21405034053205,60.96230159584366
practice_intercept_offset[6061],-0.291,0.04,-0.368,-0.206,0.013,0.009,10.0,12.0,2.35,-25.248432198190894,-30.788281831126962,-18.616692371707934
practice_intercept_offset[6062],-3.08,0.057,-3.198,-2.97,0.011,0.005,26.0,40.0,1.21,-95.40407433509557,-95.91561900348923,-94.86966896680809
practice_intercept_offset[6063],-2.825,0.05,-2.916,-2.723,0.012,0.005,16.0,47.0,1.42,-94.06913431705613,-94.58501459050758,-93.43225736966956
practice_intercept_offset[6064],-0.132,0.066,-0.275,-0.015,0.022,0.013,10.0,21.0,2.43,-12.365900492062664,-24.042787677503153,-1.4888060396937353
practice_intercept_offset[6065],-0.858,0.035,-0.92,-0.793,0.011,0.005,10.0,36.0,2.34,-57.59907466289527,-60.14809589154859,-54.75146988426833
practice_intercept_offset[6066],0.326,0.04,0.259,0.399,0.014,0.006,9.0,11.0,2.93,38.54153688727846,29.563380482804845,49.03336186074026
practice_intercept_offset[6067],-0.591,0.033,-0.646,-0.528,0.011,0.005,10.0,23.0,2.4,-44.62267654789499,-47.58618581916646,-41.02166423871496
practice_intercept_offset[6068],-0.668,0.037,-0.734,-0.599,0.012,0.007,9.0,20.0,2.97,-48.72669809581095,-52.0014795733464,-45.06392777725699
practice_intercept_offset[6069],-1.745,0.043,-1.831,-1.664,0.012,0.006,12.0,31.0,1.74,-82.53550110331891,-83.97467656125474,-81.06200567331673
practice_intercept_offset[6070],0.725,0.041,0.655,0.804,0.014,0.007,9.0,14.0,2.59,106.47310999664863,92.51425173763627,123.44609202967267
practice_intercept_offset[6071],-0.049,0.036,-0.126,0.007,0.012,0.008,9.0,20.0,2.73,-4.781887030149512,-11.838515321658393,0.7024557266848586
practice_intercept_offset[6072],-0.959,0.034,-1.022,-0.893,0.01,0.005,11.0,31.0,2.07,-61.67240296286385,-64.01255289979404,-59.05743684015899
practice_intercept_offset[6073],0.15,0.039,0.079,0.231,0.013,0.009,9.0,12.0,2.6,16.183424272828304,8.22043220703148,25.98592394492314
practice_intercept_offset[6074],0.089,0.043,0.019,0.169,0.014,0.006,10.0,23.0,2.46,9.308065632633022,1.9181648617407898,18.412013892396928
practice_intercept_offset[6075],-0.341,0.037,-0.422,-0.28,0.012,0.007,10.0,22.0,2.24,-28.894109179359027,-34.426596060655825,-24.421625854427454
practice_intercept_offset[6076],-1.972,0.075,-2.135,-1.836,0.023,0.013,11.0,22.0,2.06,-86.08217787695163,-88.17554096233646,-84.05460319534949
practice_intercept_offset[6077],-1.712,0.049,-1.801,-1.61,0.014,0.008,12.0,22.0,1.69,-81.94955774775607,-83.48663280447339,-80.01123859248555
practice_intercept_offset[6078],-0.392,0.033,-0.445,-0.336,0.011,0.003,10.0,22.0,2.12,-32.4295886039374,-35.91757239676813,-28.537689418394272
practice_intercept_offset[6079],-2.89,0.039,-2.965,-2.811,0.009,0.005,17.0,45.0,1.38,-94.4423787388517,-94.84395307548859,-93.98551825075543
practice_intercept_offset[6080],-0.441,0.022,-0.477,-0.398,0.007,0.003,10.0,29.0,2.08,-35.66072934270438,-37.93574707065627,-32.833797233799025
