parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_slope_offset[5373],-0.556,0.084,-0.72,-0.389,0.002,0.001,1185.0,2763.0,1.02,-42.65015241242847,-51.32477440400282,-32.22657299860289,,,
practice_slope_offset[5374],-0.532,0.078,-0.677,-0.373,0.002,0.001,1109.0,2951.0,1.01,-41.25710638354766,-49.18608745993607,-31.133476715604424,,,
practice_slope_offset[5375],-1.725,0.135,-1.996,-1.469,0.004,0.002,1069.0,2330.0,1.01,-82.18269482271016,-86.41222915031538,-76.98444743270163,,,
practice_slope_offset[5376],0.8,0.078,0.642,0.949,0.005,0.001,213.0,466.0,1.03,122.5540928492468,90.02776365552259,158.3125242080516,,,
practice_slope_offset[5377],-0.23,0.09,-0.405,-0.056,0.004,0.001,506.0,2119.0,1.02,-20.5466397496666,-33.302318914152565,-5.446086410960371,,,
practice_slope_offset[5378],-0.278,0.073,-0.422,-0.137,0.002,0.001,989.0,2523.0,1.01,-24.27031784856645,-34.426596060655825,-12.80297738678906,,,
practice_slope_offset[5379],0.101,0.103,-0.104,0.299,0.003,0.002,1003.0,2088.0,1.01,10.627664176342355,-9.877470257879516,34.85096234729106,,,
practice_slope_offset[5380],-0.782,0.075,-0.926,-0.628,0.003,0.001,526.0,2668.0,1.02,-54.25098845162668,-60.386491414444464,-46.63419494970093,,,
practice_slope_offset[5381],0.45,0.072,0.314,0.595,0.002,0.001,968.0,2109.0,1.02,56.83121854901687,36.88897365473756,81.30309449601565,,,
practice_slope_offset[5382],-0.478,0.077,-0.629,-0.33,0.002,0.001,1183.0,2323.0,1.01,-37.9977803018006,-46.68753408074079,-28.107626656807383,,,
practice_slope_offset[5383],0.08,0.083,-0.078,0.244,0.002,0.001,1204.0,2565.0,1.01,8.328706767495863,-7.503557345646072,27.63443304894546,,,
practice_slope_offset[5384],0.201,0.108,-0.011,0.407,0.004,0.002,641.0,1768.0,1.02,22.26247718233272,-1.0939721224631271,50.23041056619504,,,
practice_slope_offset[5385],-0.202,0.081,-0.36,-0.043,0.003,0.001,851.0,2199.0,1.02,-18.29050720577634,-30.232367392896897,-4.208860993296937,,,
practice_slope_offset[5386],0.724,0.128,0.481,0.978,0.004,0.002,885.0,1799.0,1.01,106.26674008880342,61.76912849017005,165.91326548072095,,,
practice_slope_offset[5387],0.102,0.078,-0.053,0.253,0.002,0.001,1016.0,2701.0,1.01,10.73834717279334,-5.161998751770181,28.788327683463045,,,
practice_slope_offset[5388],-0.406,0.09,-0.577,-0.225,0.003,0.001,850.0,2346.0,1.02,-33.36898325751137,-43.84194162708187,-20.14837812406229,,,
practice_slope_offset[5389],-1.488,0.096,-1.681,-1.305,0.003,0.001,839.0,1598.0,1.01,-77.4176148103524,-81.3812304780696,-72.88274649544,,,
practice_slope_offset[5390],0.153,0.151,-0.141,0.441,0.005,0.003,957.0,1746.0,1.01,16.532497894273778,-13.151068830233214,55.426070234230586,,,
practice_slope_offset[5391],0.251,0.075,0.109,0.406,0.003,0.001,749.0,1524.0,1.02,28.53100843311953,11.516235034144785,50.08025524580199,,,
practice_slope_offset[5392],-0.083,0.07,-0.219,0.055,0.002,0.001,1030.0,2479.0,1.02,-7.964885277987532,-19.667828184637347,5.654061467549432,,,
practice_slope_offset[5393],-0.201,0.081,-0.364,-0.044,0.003,0.001,796.0,2320.0,1.02,-18.20875684461406,-30.51088052570893,-4.3046042526953325,,,
practice_slope_offset[5394],-0.23,0.072,-0.37,-0.091,0.002,0.001,1081.0,2473.0,1.02,-20.5466397496666,-30.92656693626453,-8.698228910073425,,,
practice_slope_offset[5395],-0.051,0.074,-0.196,0.092,0.003,0.001,565.0,2016.0,1.02,-4.972132946757313,-17.79877653218135,9.636482208081688,,,
practice_slope_offset[5396],-0.264,0.082,-0.418,-0.097,0.004,0.001,425.0,2386.0,1.03,-23.202646034329387,-34.16377715751728,-9.24439938667273,,,
practice_slope_offset[5397],0.088,0.069,-0.05,0.223,0.002,0.001,950.0,2227.0,1.02,9.19881220281975,-4.877057549928598,24.9820573735984,,,
practice_slope_offset[5398],-0.045,0.072,-0.186,0.095,0.003,0.001,785.0,2417.0,1.03,-4.400251816690015,-16.972640501806737,9.965885512610283,,,
practice_slope_offset[5399],-0.347,0.069,-0.485,-0.215,0.005,0.001,204.0,2225.0,1.03,-29.319467174225057,-38.43028032357149,-19.34585598226732,,,
practice_slope_offset[5400],-0.296,0.071,-0.435,-0.155,0.003,0.001,520.0,2685.0,1.03,-25.62125719798204,-35.27353329219653,-14.358482251638648,,,
practice_slope_offset[5401],-0.746,0.073,-0.886,-0.605,0.003,0.001,643.0,2627.0,1.03,-52.57401970719802,-58.76983346059112,-45.39255733602906,,,
practice_slope_offset[5402],-0.036,0.074,-0.182,0.108,0.003,0.001,839.0,2763.0,1.02,-3.535970651687692,-16.63986595842647,11.404774538646766,,,
practice_slope_offset[5403],-0.948,0.077,-1.093,-0.792,0.004,0.001,303.0,1893.0,1.03,-61.24847205006303,-66.47906443120053,-54.70619872234423,,,
practice_slope_offset[5404],-2.168,0.108,-2.374,-1.958,0.004,0.002,683.0,2178.0,1.02,-88.5593799347795,-90.68924497773747,-85.88595803323659,,,
practice_slope_offset[5405],3.06,0.103,2.859,3.26,0.005,0.001,489.0,1606.0,1.02,2032.7557162026903,1644.4074137497353,2504.9537142518334,,,
practice_slope_offset[5406],-0.351,0.069,-0.482,-0.213,0.002,0.001,872.0,2522.0,1.02,-29.601624614437902,-38.245293823532,-19.184386278351163,,,
practice_slope_offset[5407],0.243,0.071,0.103,0.38,0.003,0.001,645.0,1901.0,1.02,27.506862411845965,10.849140907600718,46.228458943422446,,,
practice_slope_offset[5408],0.053,0.071,-0.086,0.19,0.003,0.001,686.0,2760.0,1.02,5.4429645119356,-8.240576877984907,20.92495976572515,,,
practice_slope_offset[5409],-0.3,0.071,-0.436,-0.159,0.002,0.001,1063.0,2219.0,1.02,-25.91817793182821,-35.338227406456035,-14.70036410308685,,,
practice_slope_offset[5410],-0.479,0.102,-0.675,-0.276,0.003,0.002,917.0,2164.0,1.02,-38.05975153072008,-49.08435793924508,-24.118706923875862,,,
