name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
aqrean_daqi_overall_values_x_imd,continuous_interaction,-0.4835700369716145,"(np.float64(-0.5968462223379878), np.float64(-0.3701647662222918))",7.306399980958948e-17,0.8226536062359013,"(np.float64(-0.9215125543167613), np.float64(2.5975238648631827))",0.3574804410768794,-0.02719552930739999,"(np.float64(-0.12014740341977914), np.float64(0.06584284924684436))",0.5665805532597272,10391,898467,
aqrean_nitrogen_monoxide_values,continuous,0.10829121537332398,"(np.float64(-0.038009865212662586), np.float64(0.25480641740838195))",0.14692517349805467,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_nitrogen_monoxide_values_x_imd,continuous_interaction,0.1123129667088163,"(np.float64(-0.03734808319918459), np.float64(0.26219808460052896))",0.14140524035664853,0.7757014826915709,"(np.float64(-0.962411997930035), np.float64(2.5443189217845275))",0.3840269636448097,0.012919923695675628,"(np.float64(-0.09999752014577812), np.float64(0.12596499865631383))",0.8226441897657122,10408,907782,
aqrean_nitrogen_dioxide_values,continuous,0.04969107137964279,"(np.float64(-0.12928398049688594), np.float64(0.22898685860754942))",0.5865671418548583,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_nitrogen_dioxide_values_x_imd,continuous_interaction,0.04142648616898281,"(np.float64(-0.13815505495485825), np.float64(0.2213309687519205))",0.6513994915226766,0.7832553519046659,"(np.float64(-0.9549156053172747), np.float64(2.5519299761686653))",0.37941122232504776,-0.07167906501044374,"(np.float64(-0.20361736442831013), np.float64(0.060433666730452806))",0.28745596345701674,10408,907782,
aqrean_daqi_nitrogen_dioxide_values,continuous,-0.3476373353865414,"(np.float64(-0.4748032613211106), np.float64(-0.22030892624924636))",9.027972946173257e-08,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_nitrogen_dioxide_values_x_imd,continuous_interaction,-0.3513830664595541,"(np.float64(-0.4805507578273027), np.float64(-0.2220477265304388))",1.0434742306213037e-07,0.8309502781702616,"(np.float64(-0.9135526831833829), np.float64(2.606166729255177))",0.35272600595691206,-0.014206912177816555,"(np.float64(-0.12742367447844405), np.float64(0.09913819401599078))",0.8058465529114507,10391,898467,
aqrean_nox_expressed_as_nitrogen_dioxide_values,continuous,0.09411643566648031,"(np.float64(-0.06266901737672637), np.float64(0.25114785964013286))",0.23952521768299195,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_nox_expressed_as_nitrogen_dioxide_values_x_imd,continuous_interaction,0.093574040417721,"(np.float64(-0.06652016242216785), np.float64(0.2539247154011104))",0.25212406470488735,0.7771320846454488,"(np.float64(-0.9610141225655511), np.float64(2.54578296848329))",0.38315620946133655,-0.003353136862926931,"(np.float64(-0.12106998732474006), np.float64(0.11450245414088567))",0.955504870385227,10408,907782,
aqrean_ozone_values,continuous,-0.6415298278630188,"(np.float64(-0.7899172986690517), np.float64(-0.4929204154872191))",3.172077799794321e-17,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
