,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82025],0.082,0.086,-0.077,0.246,0.0,0.001,36748.0,20366.0,1.0
1|practice_id[A82026],0.345,0.085,0.185,0.505,0.0,0.001,36916.0,18744.0,1.0
1|practice_id[A82027],-0.161,0.086,-0.32,0.002,0.0,0.001,37231.0,19400.0,1.0
1|practice_id[A82029],-0.084,0.086,-0.24,0.081,0.0,0.001,38629.0,20726.0,1.0
1|practice_id[A82030],-0.259,0.085,-0.421,-0.101,0.0,0.001,36712.0,19499.0,1.0
1|practice_id[A82031],0.263,0.086,0.104,0.428,0.0,0.001,37677.0,18892.0,1.0
1|practice_id[A82032],0.315,0.084,0.159,0.475,0.0,0.001,36157.0,19627.0,1.0
1|practice_id[A82033],0.377,0.086,0.218,0.541,0.0,0.001,36878.0,19559.0,1.0
1|practice_id[A82034],-0.121,0.092,-0.294,0.054,0.0,0.001,35879.0,18732.0,1.0
1|practice_id[A82035],-0.229,0.086,-0.393,-0.069,0.0,0.001,38310.0,19693.0,1.0
1|practice_id[A82036],-0.092,0.085,-0.25,0.068,0.0,0.001,39314.0,19406.0,1.0
1|practice_id[A82037],-0.237,0.085,-0.398,-0.08,0.0,0.001,39199.0,18937.0,1.0
1|practice_id[A82038],0.21,0.087,0.045,0.371,0.0,0.001,36095.0,18947.0,1.0
1|practice_id[A82039],0.026,0.086,-0.137,0.186,0.0,0.001,37959.0,18146.0,1.0
1|practice_id[A82040],-0.564,0.172,-0.889,-0.244,0.001,0.001,31561.0,19002.0,1.0
1|practice_id[A82041],-0.144,0.086,-0.305,0.016,0.0,0.001,36657.0,18862.0,1.0
1|practice_id[A82044],0.559,0.094,0.378,0.732,0.0,0.001,47853.0,17805.0,1.0
1|practice_id[A82045],0.35,0.086,0.19,0.511,0.0,0.001,34976.0,19075.0,1.0
1|practice_id[A82047],-0.424,0.086,-0.586,-0.264,0.0,0.001,36493.0,18860.0,1.0
1|practice_id[A82048],0.39,0.085,0.236,0.556,0.0,0.001,37207.0,19603.0,1.0
1|practice_id[A82049],0.751,0.086,0.591,0.916,0.0,0.001,37615.0,19678.0,1.0
1|practice_id[A82050],0.397,0.087,0.232,0.555,0.0,0.001,36278.0,18170.0,1.0
1|practice_id[A82052],-0.664,0.166,-0.984,-0.355,0.001,0.001,36809.0,18317.0,1.0
1|practice_id[A82053],-0.617,0.086,-0.785,-0.463,0.0,0.001,38187.0,19726.0,1.0
1|practice_id[A82055],0.058,0.086,-0.104,0.22,0.0,0.001,39900.0,18443.0,1.0
1|practice_id[A82057],0.255,0.178,-0.076,0.593,0.001,0.001,32771.0,16698.0,1.0
1|practice_id[A82058],0.042,0.087,-0.123,0.203,0.0,0.001,32559.0,19079.0,1.0
1|practice_id[A82060],0.566,0.105,0.369,0.764,0.001,0.001,33521.0,19152.0,1.0
1|practice_id[A82062],0.159,0.086,-0.002,0.318,0.0,0.001,36733.0,19252.0,1.0
1|practice_id[A82064],-0.231,0.094,-0.406,-0.051,0.0,0.001,50989.0,18801.0,1.0
1|practice_id[A82065],-0.238,0.086,-0.401,-0.08,0.0,0.001,34690.0,19253.0,1.0
1|practice_id[A82068],-0.139,0.086,-0.295,0.024,0.0,0.001,35517.0,18595.0,1.0
1|practice_id[A82071],0.076,0.086,-0.088,0.236,0.0,0.001,37800.0,19466.0,1.0
1|practice_id[A82072],0.75,0.087,0.588,0.913,0.0,0.001,34829.0,18700.0,1.0
1|practice_id[A82074],-0.574,0.129,-0.819,-0.336,0.001,0.001,34011.0,18846.0,1.0
1|practice_id[A82075],0.069,0.085,-0.094,0.225,0.0,0.001,39053.0,17933.0,1.0
1|practice_id[A82077],-0.04,0.086,-0.199,0.125,0.0,0.001,39394.0,19850.0,1.0
1|practice_id[A82608],0.022,0.086,-0.143,0.18,0.0,0.001,34798.0,18911.0,1.0
1|practice_id[A82613],-0.288,0.151,-0.569,-0.005,0.001,0.001,37123.0,19579.0,1.0
1|practice_id[A82617],0.546,0.086,0.389,0.711,0.0,0.001,36212.0,18659.0,1.0
1|practice_id[A82619],-0.009,0.218,-0.419,0.402,0.001,0.001,34504.0,17946.0,1.0
1|practice_id[A82621],-0.346,0.086,-0.506,-0.186,0.0,0.001,36170.0,19192.0,1.0
1|practice_id[A82623],0.14,0.086,-0.021,0.301,0.0,0.001,38421.0,18591.0,1.0
1|practice_id[A82629],0.113,0.086,-0.048,0.273,0.0,0.001,39540.0,19166.0,1.0
1|practice_id[A82631],0.389,0.085,0.229,0.548,0.0,0.001,38217.0,19111.0,1.0
1|practice_id[A82635],-0.135,0.222,-0.551,0.279,0.001,0.002,34445.0,17293.0,1.0
1|practice_id[A82641],-0.983,0.211,-1.369,-0.581,0.001,0.001,34701.0,18778.0,1.0
1|practice_id[A82642],-0.222,0.191,-0.579,0.131,0.001,0.001,33020.0,18620.0,1.0
1|practice_id[A82646],-0.16,0.087,-0.322,0.006,0.0,0.001,40881.0,19122.0,1.0
1|practice_id[A82647],-0.043,0.085,-0.2,0.118,0.0,0.001,35149.0,18227.0,1.0
1|practice_id[A82650],0.324,0.085,0.163,0.481,0.0,0.001,40758.0,20021.0,1.0
1|practice_id[A82651],-0.049,0.086,-0.216,0.106,0.0,0.001,38468.0,19673.0,1.0
1|practice_id[A82654],0.584,0.084,0.429,0.745,0.0,0.001,36064.0,18806.0,1.0
1|practice_id[A83004],0.407,0.09,0.238,0.574,0.0,0.001,35123.0,19322.0,1.0
1|practice_id[A83005],-0.09,0.086,-0.254,0.07,0.0,0.001,35915.0,18582.0,1.0
1|practice_id[A83006],0.147,0.086,-0.022,0.301,0.0,0.001,36509.0,18284.0,1.0
1|practice_id[A83007],0.525,0.085,0.369,0.687,0.0,0.001,37294.0,19613.0,1.0
1|practice_id[A83008],0.105,0.084,-0.049,0.267,0.0,0.001,36804.0,19249.0,1.0
1|practice_id[A83009],0.062,0.086,-0.095,0.227,0.0,0.001,35037.0,18724.0,1.0
1|practice_id[A83010],0.146,0.086,-0.018,0.305,0.0,0.001,38210.0,18945.0,1.0
1|practice_id[A83012],0.042,0.086,-0.118,0.203,0.0,0.001,36145.0,19051.0,1.0
1|practice_id[A83013],-0.047,0.086,-0.213,0.112,0.0,0.001,38008.0,19369.0,1.0
1|practice_id[A83014],0.221,0.086,0.053,0.375,0.0,0.001,39654.0,18729.0,1.0
1|practice_id[A83015],-0.442,0.086,-0.607,-0.282,0.0,0.001,38103.0,19617.0,1.0
1|practice_id[A83016],-0.194,0.087,-0.362,-0.037,0.0,0.001,38683.0,18655.0,1.0
1|practice_id[A83017],-0.432,0.092,-0.598,-0.252,0.0,0.001,36336.0,20032.0,1.0
1|practice_id[A83018],0.431,0.086,0.274,0.597,0.0,0.001,34896.0,18465.0,1.0
1|practice_id[A83019],-0.532,0.095,-0.704,-0.347,0.001,0.001,34230.0,18926.0,1.0
1|practice_id[A83021],0.214,0.086,0.05,0.374,0.0,0.001,42337.0,19651.0,1.0
1|practice_id[A83023],-0.073,0.087,-0.236,0.089,0.0,0.001,39889.0,18998.0,1.0
1|practice_id[A83024],-0.482,0.085,-0.644,-0.325,0.0,0.001,35149.0,20129.0,1.0
1|practice_id[A83025],-0.012,0.086,-0.174,0.148,0.0,0.001,37007.0,19167.0,1.0
1|practice_id[A83026],0.264,0.087,0.1,0.426,0.0,0.001,40952.0,20415.0,1.0
1|practice_id[A83027],-0.055,0.086,-0.217,0.103,0.0,0.001,37951.0,19186.0,1.0
1|practice_id[A83028],0.042,0.086,-0.119,0.203,0.0,0.001,33892.0,19850.0,1.0
1|practice_id[A83029],-0.134,0.086,-0.298,0.024,0.0,0.001,39426.0,18756.0,1.0
1|practice_id[A83031],-0.163,0.086,-0.328,-0.006,0.0,0.001,35517.0,18618.0,1.0
1|practice_id[A83032],-0.438,0.086,-0.599,-0.275,0.0,0.001,36623.0,18455.0,1.0
1|practice_id[A83033],-0.301,0.087,-0.465,-0.14,0.0,0.001,42279.0,18928.0,1.0
1|practice_id[A83034],0.248,0.086,0.088,0.409,0.0,0.001,36483.0,19128.0,1.0
1|practice_id[A83037],-0.125,0.086,-0.288,0.035,0.0,0.001,35885.0,18545.0,1.0
1|practice_id[A83038],-0.271,0.086,-0.428,-0.105,0.0,0.001,44063.0,19521.0,1.0
1|practice_id[A83040],-0.436,0.085,-0.592,-0.272,0.0,0.001,37659.0,19918.0,1.0
1|practice_id[A83041],0.216,0.085,0.061,0.383,0.0,0.001,36564.0,19071.0,1.0
1|practice_id[A83042],-0.186,0.105,-0.388,0.006,0.001,0.001,31883.0,18828.0,1.0
1|practice_id[A83043],-0.112,0.086,-0.276,0.047,0.0,0.001,36780.0,18592.0,1.0
1|practice_id[A83044],0.091,0.085,-0.068,0.252,0.0,0.001,35638.0,19457.0,1.0
1|practice_id[A83045],-0.206,0.086,-0.375,-0.05,0.0,0.001,42237.0,18595.0,1.0
1|practice_id[A83046],-0.282,0.085,-0.438,-0.12,0.0,0.001,39445.0,19295.0,1.0
1|practice_id[A83047],0.665,0.086,0.508,0.834,0.0,0.001,37404.0,19278.0,1.0
1|practice_id[A83048],0.035,0.086,-0.126,0.197,0.0,0.001,38707.0,18734.0,1.0
1|practice_id[A83049],0.374,0.086,0.21,0.534,0.0,0.001,35556.0,19495.0,1.0
1|practice_id[A83050],0.004,0.087,-0.158,0.168,0.0,0.001,40449.0,19510.0,1.0
1|practice_id[A83051],-0.418,0.086,-0.579,-0.256,0.0,0.001,37173.0,18460.0,1.0
1|practice_id[A83054],0.321,0.086,0.163,0.486,0.0,0.001,35814.0,19766.0,1.0
1|practice_id[A83055],-0.186,0.085,-0.351,-0.03,0.0,0.001,35099.0,19278.0,1.0
1|practice_id[A83057],-0.245,0.087,-0.412,-0.087,0.0,0.001,38989.0,20487.0,1.0
1|practice_id[A83060],0.177,0.085,0.024,0.341,0.0,0.001,35515.0,19245.0,1.0
1|practice_id[A83061],0.186,0.086,0.029,0.35,0.0,0.001,37664.0,19052.0,1.0
1|practice_id[A83066],0.133,0.085,-0.03,0.293,0.0,0.001,39023.0,19384.0,1.0
1|practice_id[A83068],-0.188,0.208,-0.576,0.199,0.001,0.001,32578.0,19073.0,1.0
1|practice_id[A83070],-0.415,0.086,-0.581,-0.257,0.0,0.001,37251.0,19595.0,1.0
1|practice_id[A83071],0.031,0.086,-0.131,0.193,0.0,0.001,39510.0,18077.0,1.0
1|practice_id[A83073],0.527,0.086,0.366,0.688,0.0,0.001,40085.0,19611.0,1.0
1|practice_id[A83074],0.598,0.085,0.431,0.752,0.0,0.001,34847.0,19718.0,1.0
1|practice_id[A83075],-0.702,0.086,-0.865,-0.542,0.0,0.001,37555.0,17513.0,1.0
1|practice_id[A83076],-0.236,0.102,-0.431,-0.049,0.001,0.001,35033.0,19515.0,1.0
1|practice_id[A83610],0.177,0.085,0.013,0.333,0.0,0.001,36458.0,17814.0,1.0
1|practice_id[A83616],-0.364,0.086,-0.524,-0.203,0.0,0.001,37956.0,19135.0,1.0
1|practice_id[A83618],0.354,0.086,0.192,0.513,0.0,0.001,39631.0,19324.0,1.0
1|practice_id[A83619],0.034,0.085,-0.124,0.196,0.0,0.001,37407.0,19502.0,1.0
1|practice_id[A83626],-0.234,0.086,-0.396,-0.073,0.0,0.001,36045.0,18964.0,1.0
1|practice_id[A83627],-0.101,0.086,-0.264,0.06,0.0,0.001,38671.0,17635.0,1.0
1|practice_id[A83632],-0.326,0.086,-0.487,-0.164,0.0,0.001,39195.0,19067.0,1.0
1|practice_id[A83634],0.304,0.086,0.145,0.467,0.0,0.001,37644.0,18693.0,1.0
1|practice_id[A83635],0.149,0.086,-0.011,0.311,0.0,0.001,39052.0,18616.0,1.0
1|practice_id[A83636],0.345,0.085,0.185,0.504,0.0,0.001,37425.0,19274.0,1.0
1|practice_id[A83637],-0.356,0.087,-0.52,-0.191,0.0,0.001,41699.0,18606.0,1.0
1|practice_id[A83638],-0.897,0.163,-1.203,-0.59,0.001,0.001,34386.0,17566.0,1.0
1|practice_id[A83641],0.155,0.086,-0.01,0.315,0.0,0.001,39267.0,18469.0,1.0
1|practice_id[A83644],0.266,0.086,0.109,0.431,0.0,0.001,40574.0,19400.0,1.0
1|practice_id[A84002],0.067,0.087,-0.099,0.229,0.0,0.001,37200.0,19292.0,1.0
1|practice_id[A84003],0.235,0.087,0.073,0.401,0.0,0.001,31282.0,19516.0,1.0
