parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[3759],0.904,0.04,0.822,0.973,0.012,0.006,11.0,27.0,1.84,146.946122668849,127.5045381235993,164.58701753619405,,,
practice_intercept_offset[3760],-0.685,0.041,-0.763,-0.607,0.012,0.005,13.0,31.0,1.68,-49.59097704251745,-53.37344698751205,-45.501663079245205,,,
practice_intercept_offset[3761],-0.105,0.071,-0.245,0.031,0.013,0.002,30.0,259.0,1.18,-9.96754774137344,-21.729546175813187,3.1485503886522714,,,
practice_intercept_offset[3762],0.864,0.03,0.808,0.923,0.007,0.002,18.0,97.0,1.36,137.26322669984424,124.34166635233792,151.6829564213142,,,
practice_intercept_offset[3763],-0.988,0.043,-1.074,-0.904,0.009,0.003,24.0,90.0,1.24,-62.76794119468448,-65.83607762379306,-59.50533706734951,,,
practice_intercept_offset[3764],1.246,0.028,1.193,1.299,0.007,0.002,17.0,62.0,1.38,247.6409471182529,229.69572576736672,266.5629204988562,,,
practice_intercept_offset[3765],0.943,0.027,0.891,0.997,0.007,0.002,17.0,77.0,1.4,156.7672894029203,143.75659989119467,171.01392030187966,,,
practice_intercept_offset[3766],0.836,0.035,0.767,0.901,0.007,0.002,26.0,130.0,1.21,130.71200151265555,115.32966642600393,146.20639444796984,,,
practice_intercept_offset[3767],0.708,0.029,0.651,0.764,0.007,0.002,18.0,75.0,1.35,102.99273414013412,91.74573279326611,114.68464544196762,,,
practice_intercept_offset[3768],-0.316,0.032,-0.378,-0.255,0.008,0.003,16.0,52.0,1.45,-27.094054983237623,-31.476949933412968,-22.5083502038919,,,
practice_intercept_offset[3769],0.833,0.028,0.778,0.886,0.007,0.002,16.0,79.0,1.41,130.02090267469853,117.71136810045596,142.54085877731632,,,
practice_intercept_offset[3770],0.445,0.03,0.39,0.504,0.007,0.002,16.0,75.0,1.42,56.04901958326667,47.69807938826427,65.5329363157055,,,
practice_intercept_offset[3771],-0.31,0.034,-0.379,-0.245,0.008,0.003,18.0,68.0,1.35,-26.65530437757108,-31.545438733372176,-21.729546175813187,,,
practice_intercept_offset[3772],1.049,0.029,0.99,1.103,0.007,0.002,18.0,85.0,1.35,185.47948952945035,169.1234472349262,201.31920542942723,,,
practice_intercept_offset[3773],1.202,0.028,1.148,1.255,0.007,0.002,18.0,72.0,1.36,232.6763801244903,215.1882836047388,250.78383743425823,,,
practice_intercept_offset[3774],0.706,0.028,0.653,0.762,0.007,0.002,17.0,75.0,1.4,102.58715438680044,92.1296080061071,114.25570523427142,,,
practice_intercept_offset[3775],1.237,0.028,1.184,1.29,0.007,0.002,17.0,73.0,1.4,244.52621590903743,226.7417769442918,263.2786555752809,,,
practice_intercept_offset[3776],1.277,0.028,1.223,1.329,0.007,0.002,17.0,75.0,1.38,258.5865975098591,239.73645544207835,277.7264234072889,,,
practice_intercept_offset[3777],1.016,0.031,0.958,1.077,0.007,0.002,21.0,104.0,1.28,176.21241409153652,160.64783003886967,193.5858750229181,,,
practice_intercept_offset[3778],1.139,0.029,1.086,1.198,0.007,0.002,17.0,80.0,1.37,212.36431596841544,196.2400738771504,231.34833247003093,,,
practice_intercept_offset[3779],0.515,0.03,0.459,0.574,0.007,0.002,17.0,79.0,1.39,67.36385017975294,58.24907027825334,77.53542846562733,,,
practice_intercept_offset[3780],0.761,0.029,0.706,0.817,0.007,0.002,17.0,79.0,1.39,114.0415566211894,102.58715438680044,126.36985450594862,,,
practice_intercept_offset[3781],0.032,0.03,-0.028,0.091,0.007,0.003,17.0,67.0,1.39,3.251750530511832,-2.761163319875315,9.52690052584655,,,
practice_intercept_offset[3782],0.436,0.029,0.382,0.492,0.007,0.002,16.0,74.0,1.43,54.65087947493774,46.521208513296,63.55841192052398,,,
practice_intercept_offset[3783],0.733,0.028,0.68,0.787,0.007,0.002,17.0,76.0,1.39,108.131519670475,97.38777322304476,119.6796142353235,,,
practice_intercept_offset[3784],1.313,0.031,1.243,1.368,0.008,0.006,16.0,18.0,1.43,271.73089278188314,246.59958709794856,292.7487859536412,,,
practice_intercept_offset[3785],1.092,0.032,1.031,1.155,0.007,0.002,23.0,104.0,1.26,198.02285732240196,180.3868301533656,217.40234175276,,,
practice_intercept_offset[3786],0.736,0.03,0.682,0.797,0.007,0.002,18.0,83.0,1.36,108.75685175861962,97.78294380835264,121.8874310633741,,,
practice_intercept_offset[3787],-0.212,0.032,-0.273,-0.149,0.008,0.003,17.0,60.0,1.41,-19.10353024335002,-23.89072123710657,-13.843088510104174,,,
practice_intercept_offset[3788],0.104,0.029,0.048,0.161,0.008,0.003,15.0,54.0,1.48,10.960045491558246,4.91706553244704,17.468496881387164,,,
practice_intercept_offset[3789],-0.589,0.034,-0.655,-0.525,0.008,0.003,16.0,57.0,1.42,-44.51181107247051,-48.05579374129518,-40.84446356331849,,,
practice_intercept_offset[3790],-0.202,0.032,-0.265,-0.14,0.008,0.003,17.0,67.0,1.4,-18.29050720577634,-23.279405002414432,-13.064176460119414,,,
practice_intercept_offset[3791],-0.42,0.032,-0.482,-0.359,0.008,0.003,16.0,56.0,1.43,-34.29531801849433,-38.245293823532,-30.162564864842643,,,
practice_intercept_offset[3792],0.413,0.032,0.353,0.475,0.007,0.002,19.0,93.0,1.33,51.134502593399375,42.33311434336018,60.80141974857829,,,
practice_intercept_offset[3793],0.311,0.035,0.244,0.38,0.007,0.002,23.0,115.0,1.25,36.47892211861614,27.63443304894546,46.228458943422446,,,
practice_intercept_offset[3794],0.425,0.03,0.369,0.487,0.007,0.002,18.0,82.0,1.36,52.95904196633787,44.628760367473966,62.74266093785854,,,
practice_intercept_offset[3795],0.571,0.028,0.517,0.624,0.007,0.002,16.0,66.0,1.43,77.00362029134793,67.69891283107623,86.63786452864724,,,
practice_intercept_offset[3796],-0.217,0.032,-0.28,-0.155,0.008,0.003,17.0,62.0,1.4,-19.50700306949985,-24.42162585442745,-14.358482251638648,,,
practice_intercept_offset[3797],-0.332,0.038,-0.405,-0.259,0.008,0.002,23.0,102.0,1.25,-28.251267714555677,-33.302318914152565,-22.817697695629658,,,
practice_intercept_offset[3798],0.185,0.031,0.124,0.246,0.007,0.002,18.0,76.0,1.36,20.32184401276953,13.20158709991752,27.88995735417381,,,
practice_intercept_offset[3799],0.729,0.035,0.66,0.797,0.007,0.002,24.0,115.0,1.24,107.3006564260992,93.47923344020316,121.8874310633741,,,
practice_intercept_offset[3800],0.924,0.029,0.87,0.979,0.007,0.002,18.0,83.0,1.37,151.93476526117138,138.69108535242765,166.17931174716438,,,
practice_intercept_offset[3801],0.042,0.042,-0.037,0.127,0.008,0.001,31.0,172.0,1.17,4.289447875076324,-3.63238646509465,13.54170177814864,,,
practice_intercept_offset[3802],-1.104,0.05,-1.204,-1.01,0.01,0.005,25.0,33.0,1.23,-66.84577412151202,-70.00081585912795,-63.57810204284766,,,
practice_intercept_offset[3803],-0.774,0.037,-0.855,-0.709,0.01,0.007,16.0,16.0,1.43,-53.88352847913416,-57.47168089177259,-50.7863912437514,,,
practice_intercept_offset[3804],0.276,0.03,0.22,0.337,0.008,0.003,16.0,73.0,1.43,31.78478640273033,24.60767305873808,40.07390637385353,,,
practice_intercept_offset[3805],0.147,0.031,0.09,0.208,0.007,0.003,17.0,70.0,1.37,15.835396302985538,9.41742837052104,23.121316954886773,,,
practice_intercept_offset[3806],-0.284,0.034,-0.361,-0.222,0.009,0.007,16.0,15.0,1.42,-24.72333552938037,-30.30210015331273,-19.908463566534085,,,
practice_intercept_offset[3807],1.232,0.029,1.173,1.286,0.007,0.002,19.0,102.0,1.32,242.80788423852465,223.16731299208064,261.8284433111239,,,
practice_intercept_offset[3808],-0.544,0.038,-0.617,-0.47,0.008,0.003,20.0,90.0,1.3,-41.95780848592576,-46.04393059200057,-37.49977317172992,,,
practice_intercept_offset[3809],-0.774,0.033,-0.839,-0.709,0.008,0.003,16.0,54.0,1.45,-53.88352847913416,-56.78575501202597,-50.7863912437514,,,
practice_intercept_offset[3810],-0.54,0.033,-0.603,-0.474,0.009,0.003,15.0,56.0,1.46,-41.72517476260104,-45.28323316296945,-37.74927474323132,,,
practice_intercept_offset[3811],0.048,0.045,-0.037,0.138,0.007,0.001,38.0,180.0,1.14,4.91706553244704,-3.63238646509465,14.797555027417864,,,
practice_intercept_offset[3812],0.024,0.038,-0.055,0.095,0.009,0.006,20.0,24.0,1.31,2.4290317890621527,-5.351485204651619,9.965885512610283,,,
practice_intercept_offset[3813],-1.01,0.041,-1.093,-0.933,0.009,0.003,21.0,78.0,1.3,-63.57810204284766,-66.47906443120053,-60.66281770419779,,,
practice_intercept_offset[3814],-1.483,0.064,-1.614,-1.362,0.008,0.001,59.0,317.0,1.09,-77.30442013353428,-80.09103394102476,-74.38520316208407,,,
practice_intercept_offset[3815],0.235,0.034,0.174,0.303,0.009,0.003,14.0,54.0,1.54,26.49087687328917,19.005556582036263,35.391446444228826,,,
practice_intercept_offset[3816],-0.36,0.032,-0.424,-0.298,0.008,0.003,15.0,53.0,1.48,-30.232367392896897,-34.55761180911414,-25.76986602522257,,,
practice_intercept_offset[3817],-1.024,0.05,-1.121,-0.926,0.009,0.002,32.0,147.0,1.17,-64.08445586705955,-67.40463220860526,-60.386491414444464,,,
practice_intercept_offset[3818],0.199,0.03,0.137,0.255,0.008,0.003,16.0,67.0,1.42,22.018196589987248,14.682814852039815,29.046162087288984,,,
practice_intercept_offset[3819],0.554,0.03,0.498,0.614,0.007,0.002,17.0,76.0,1.39,74.01999144695428,64.54271234040729,84.78078674788694,,,
practice_intercept_offset[3820],-2.032,0.056,-2.146,-1.924,0.011,0.006,26.0,44.0,1.21,-86.8926887397788,-88.30489724784056,-85.39782944247193,,,
practice_intercept_offset[3821],-0.522,0.044,-0.607,-0.435,0.008,0.002,27.0,125.0,1.21,-40.6667304876948,-45.501663079245205,-35.27353329219653,,,
practice_intercept_offset[3822],-1.892,0.052,-1.991,-1.79,0.01,0.003,27.0,118.0,1.2,-84.92300328390125,-86.34412016549858,-83.30398303329594,,,
practice_intercept_offset[3823],0.569,0.04,0.478,0.637,0.012,0.009,15.0,17.0,1.49,76.64996682211896,61.2845483383623,89.0799962303226,,,
practice_intercept_offset[3824],0.371,0.041,0.275,0.438,0.012,0.01,15.0,16.0,1.5,44.91830733866446,31.653067486762158,54.960490741950885,,,
practice_intercept_offset[3825],0.251,0.041,0.156,0.319,0.012,0.009,15.0,18.0,1.49,28.53100843311953,16.88262030898691,37.575132490603934,,,
practice_intercept_offset[3826],0.321,0.041,0.227,0.389,0.012,0.01,15.0,16.0,1.48,37.85055808937538,25.48298679402794,47.55045513330549,,,
practice_intercept_offset[3827],0.529,0.038,0.442,0.592,0.011,0.009,15.0,16.0,1.49,69.7234225493002,55.581574043410754,80.76000026120045,,,
practice_intercept_offset[3828],0.236,0.041,0.139,0.299,0.012,0.009,15.0,17.0,1.48,26.617431016687988,14.91241000036052,34.85096234729106,,,
practice_intercept_offset[3829],-1.03,0.044,-1.132,-0.958,0.013,0.01,15.0,15.0,1.5,-64.29930394308526,-67.76121644545745,-61.63405619563866,,,
practice_intercept_offset[3830],0.503,0.038,0.414,0.564,0.011,0.009,15.0,16.0,1.49,65.367486118276,51.285712688439446,75.76892143698166,,,
practice_intercept_offset[3831],1.359,0.037,1.274,1.421,0.011,0.008,15.0,19.0,1.47,289.2299055940867,257.51244974458814,314.12596299415566,,,
practice_intercept_offset[3832],1.033,0.039,0.941,1.095,0.012,0.009,14.0,19.0,1.54,180.9481649613688,156.25426801650798,198.91826833933632,,,
practice_intercept_offset[3833],0.025,0.031,-0.035,0.083,0.008,0.003,16.0,74.0,1.43,2.531512052442886,-3.4394583742433538,8.654180854823812,,,
practice_intercept_offset[3834],0.897,0.04,0.803,0.961,0.012,0.009,15.0,17.0,1.49,145.22353589775614,123.22275762345734,161.43094761801692,,,
practice_intercept_offset[3835],-0.124,0.032,-0.185,-0.06,0.008,0.003,16.0,65.0,1.42,-11.662015911724913,-16.889571614787435,-5.823546641575128,,,
