,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81634],-0.221,0.091,-0.391,-0.053,0.0,0.001,36010.0,19206.0,1.0
1|practice_id[A82003],0.525,0.091,0.362,0.7,0.0,0.001,35575.0,19868.0,1.0
1|practice_id[A82004],-0.157,0.09,-0.321,0.017,0.0,0.001,33121.0,19349.0,1.0
1|practice_id[A82005],0.236,0.09,0.069,0.408,0.0,0.001,35242.0,19124.0,1.0
1|practice_id[A82006],0.535,0.09,0.36,0.7,0.001,0.001,32006.0,19399.0,1.0
1|practice_id[A82007],-0.002,0.09,-0.17,0.168,0.001,0.001,29484.0,18190.0,1.0
1|practice_id[A82008],0.251,0.09,0.085,0.421,0.0,0.001,35703.0,18823.0,1.0
1|practice_id[A82009],0.508,0.091,0.329,0.671,0.0,0.001,37236.0,19181.0,1.0
1|practice_id[A82010],0.709,0.09,0.538,0.875,0.001,0.001,31231.0,20197.0,1.0
1|practice_id[A82011],0.113,0.264,-0.386,0.607,0.002,0.002,27682.0,18212.0,1.0
1|practice_id[A82012],0.486,0.09,0.318,0.657,0.0,0.001,33744.0,19828.0,1.0
1|practice_id[A82013],0.442,0.091,0.272,0.613,0.0,0.001,34029.0,19323.0,1.0
1|practice_id[A82014],0.749,0.09,0.579,0.916,0.001,0.001,31850.0,18762.0,1.0
1|practice_id[A82015],-0.163,0.09,-0.328,0.011,0.001,0.001,31514.0,19032.0,1.0
1|practice_id[A82016],0.231,0.091,0.063,0.404,0.0,0.001,33701.0,19390.0,1.0
1|practice_id[A82017],0.241,0.178,-0.089,0.584,0.001,0.001,26839.0,17984.0,1.0
1|practice_id[A82018],0.269,0.09,0.103,0.441,0.001,0.001,32069.0,19300.0,1.0
1|practice_id[A82019],0.371,0.089,0.201,0.539,0.0,0.001,32079.0,19292.0,1.0
1|practice_id[A82020],0.012,0.091,-0.154,0.19,0.0,0.001,36244.0,19134.0,1.0
1|practice_id[A82021],0.297,0.09,0.129,0.467,0.001,0.001,29058.0,19059.0,1.0
1|practice_id[A82022],-0.086,0.09,-0.259,0.08,0.0,0.001,34518.0,19709.0,1.0
1|practice_id[A82023],0.194,0.091,0.025,0.365,0.0,0.001,33329.0,19190.0,1.0
1|practice_id[A82024],0.045,0.09,-0.121,0.218,0.0,0.001,33192.0,18715.0,1.0
1|practice_id[A82025],-0.122,0.091,-0.29,0.052,0.0,0.001,33690.0,20029.0,1.0
1|practice_id[A82026],0.545,0.09,0.374,0.713,0.0,0.001,34219.0,19249.0,1.0
1|practice_id[A82027],-0.172,0.091,-0.34,0.001,0.001,0.001,31598.0,20171.0,1.0
1|practice_id[A82029],0.334,0.09,0.166,0.504,0.0,0.001,34845.0,19661.0,1.0
1|practice_id[A82030],-0.121,0.09,-0.289,0.049,0.001,0.001,31254.0,19556.0,1.0
1|practice_id[A82031],0.282,0.09,0.114,0.452,0.001,0.001,31594.0,20274.0,1.0
1|practice_id[A82032],0.926,0.09,0.757,1.094,0.0,0.001,34449.0,19810.0,1.0
1|practice_id[A82033],0.482,0.092,0.303,0.647,0.001,0.001,33414.0,19013.0,1.0
1|practice_id[A82034],0.23,0.097,0.039,0.407,0.001,0.001,31990.0,19876.0,1.0
1|practice_id[A82035],0.367,0.09,0.194,0.532,0.0,0.001,32633.0,19684.0,1.0
1|practice_id[A82036],0.344,0.091,0.165,0.51,0.0,0.001,34003.0,20178.0,1.0
1|practice_id[A82037],0.331,0.09,0.159,0.498,0.001,0.001,32174.0,18889.0,1.0
1|practice_id[A82038],0.323,0.09,0.157,0.495,0.001,0.001,32424.0,17283.0,1.0
1|practice_id[A82039],0.605,0.09,0.435,0.772,0.0,0.001,33046.0,20687.0,1.0
1|practice_id[A82040],-0.505,0.173,-0.836,-0.185,0.001,0.001,26882.0,17887.0,1.0
1|practice_id[A82041],0.04,0.09,-0.131,0.207,0.001,0.001,30305.0,19635.0,1.0
1|practice_id[A82044],0.357,0.1,0.177,0.551,0.0,0.001,46148.0,17695.0,1.0
1|practice_id[A82045],0.341,0.09,0.172,0.509,0.0,0.001,33395.0,19556.0,1.0
1|practice_id[A82047],-0.447,0.091,-0.615,-0.277,0.001,0.001,31579.0,19199.0,1.0
1|practice_id[A82048],0.375,0.092,0.203,0.547,0.001,0.001,33683.0,20412.0,1.0
1|practice_id[A82049],0.76,0.09,0.594,0.932,0.0,0.001,32886.0,19662.0,1.0
1|practice_id[A82050],0.65,0.09,0.478,0.817,0.001,0.001,27765.0,19312.0,1.0
1|practice_id[A82052],0.535,0.18,0.203,0.882,0.001,0.001,29443.0,18446.0,1.0
1|practice_id[A82053],-0.454,0.09,-0.621,-0.286,0.0,0.001,33222.0,19830.0,1.0
1|practice_id[A82055],0.187,0.091,0.014,0.355,0.001,0.001,30285.0,19928.0,1.0
1|practice_id[A82057],0.487,0.187,0.133,0.838,0.001,0.001,26336.0,19085.0,1.0
1|practice_id[A82058],0.611,0.091,0.431,0.774,0.001,0.001,30552.0,19806.0,1.0
1|practice_id[A82060],0.51,0.108,0.312,0.714,0.001,0.001,30664.0,20346.0,1.0
1|practice_id[A82062],0.048,0.091,-0.123,0.219,0.001,0.001,31913.0,20689.0,1.0
1|practice_id[A82064],0.331,0.099,0.144,0.518,0.0,0.001,42089.0,17545.0,1.0
1|practice_id[A82065],0.599,0.09,0.431,0.771,0.0,0.001,33055.0,19835.0,1.0
1|practice_id[A82068],0.085,0.091,-0.087,0.257,0.0,0.001,33950.0,19797.0,1.0
1|practice_id[A82071],0.26,0.09,0.082,0.42,0.0,0.001,32823.0,19785.0,1.0
1|practice_id[A82072],0.576,0.091,0.406,0.747,0.0,0.001,33367.0,19414.0,1.0
1|practice_id[A82074],-0.233,0.137,-0.493,0.021,0.001,0.001,29211.0,18451.0,1.0
1|practice_id[A82075],0.095,0.091,-0.084,0.257,0.001,0.001,32397.0,19203.0,1.0
1|practice_id[A82077],0.537,0.091,0.367,0.706,0.0,0.001,36086.0,19528.0,1.0
1|practice_id[A82608],-0.103,0.089,-0.274,0.066,0.0,0.001,33965.0,19477.0,1.0
1|practice_id[A82613],0.292,0.159,-0.004,0.601,0.001,0.001,39037.0,19665.0,1.0
1|practice_id[A82617],0.11,0.09,-0.064,0.276,0.001,0.001,31397.0,19242.0,1.0
1|practice_id[A82619],-0.465,0.226,-0.888,-0.041,0.002,0.001,21706.0,17431.0,1.0
1|practice_id[A82621],0.195,0.09,0.025,0.362,0.0,0.001,32141.0,18943.0,1.0
1|practice_id[A82623],0.399,0.09,0.236,0.576,0.0,0.001,32733.0,19615.0,1.0
1|practice_id[A82629],0.746,0.09,0.575,0.917,0.0,0.001,33901.0,19030.0,1.0
1|practice_id[A82631],0.11,0.09,-0.056,0.281,0.0,0.001,33878.0,19651.0,1.0
