,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82040],-0.514,0.172,-0.832,-0.185,0.001,0.001,24890.0,18665.0,1.0
1|practice_id[A82041],0.027,0.09,-0.143,0.195,0.001,0.001,29312.0,19469.0,1.0
1|practice_id[A82044],0.344,0.101,0.153,0.532,0.0,0.001,47077.0,18047.0,1.0
1|practice_id[A82045],0.326,0.09,0.155,0.494,0.001,0.001,29862.0,20106.0,1.0
1|practice_id[A82047],-0.472,0.09,-0.643,-0.304,0.001,0.001,31538.0,19233.0,1.0
1|practice_id[A82048],0.349,0.091,0.179,0.519,0.001,0.001,30223.0,19150.0,1.0
1|practice_id[A82049],0.733,0.09,0.568,0.904,0.001,0.001,30221.0,19068.0,1.0
1|practice_id[A82050],0.624,0.09,0.453,0.79,0.001,0.001,29317.0,20005.0,1.0
1|practice_id[A82052],0.527,0.176,0.202,0.868,0.001,0.001,22091.0,17083.0,1.0
1|practice_id[A82053],-0.468,0.09,-0.638,-0.302,0.001,0.001,27739.0,20472.0,1.0
1|practice_id[A82055],0.173,0.091,0.004,0.344,0.001,0.001,28424.0,20248.0,1.0
1|practice_id[A82057],0.481,0.187,0.13,0.837,0.001,0.001,26521.0,18340.0,1.0
1|practice_id[A82058],0.598,0.091,0.426,0.767,0.001,0.001,29991.0,19843.0,1.0
1|practice_id[A82060],0.499,0.109,0.294,0.701,0.001,0.001,23575.0,18527.0,1.0
1|practice_id[A82062],0.036,0.091,-0.129,0.211,0.001,0.001,30179.0,19194.0,1.0
1|practice_id[A82064],0.317,0.101,0.125,0.506,0.0,0.001,44142.0,18113.0,1.0
1|practice_id[A82065],0.587,0.09,0.417,0.758,0.001,0.001,32028.0,20304.0,1.0
1|practice_id[A82068],0.071,0.09,-0.098,0.24,0.001,0.001,28478.0,18190.0,1.0
1|practice_id[A82071],0.248,0.09,0.079,0.417,0.001,0.001,29187.0,19654.0,1.0
1|practice_id[A82072],0.563,0.091,0.393,0.734,0.001,0.001,32372.0,19766.0,1.0
1|practice_id[A82074],-0.239,0.135,-0.494,0.012,0.001,0.001,27063.0,19987.0,1.0
1|practice_id[A82075],0.084,0.09,-0.082,0.258,0.001,0.001,30287.0,19616.0,1.0
1|practice_id[A82077],0.524,0.09,0.357,0.696,0.001,0.001,31692.0,19539.0,1.0
1|practice_id[A82608],-0.116,0.09,-0.288,0.054,0.001,0.001,31613.0,19956.0,1.0
1|practice_id[A82613],0.271,0.161,-0.023,0.581,0.001,0.001,33165.0,19510.0,1.0
1|practice_id[A82617],0.096,0.09,-0.079,0.259,0.001,0.001,29385.0,20225.0,1.0
1|practice_id[A82619],-0.471,0.227,-0.899,-0.047,0.001,0.001,24771.0,19501.0,1.0
1|practice_id[A82621],0.183,0.09,0.012,0.35,0.0,0.001,33266.0,18931.0,1.0
1|practice_id[A82623],0.372,0.091,0.2,0.539,0.001,0.001,30048.0,20126.0,1.0
1|practice_id[A82629],0.734,0.091,0.566,0.907,0.0,0.001,33834.0,20248.0,1.0
1|practice_id[A82631],0.096,0.091,-0.07,0.272,0.001,0.001,27628.0,19313.0,1.0
1|practice_id[A82635],-0.741,0.225,-1.156,-0.308,0.001,0.001,23367.0,19008.0,1.0
1|practice_id[A82641],-0.807,0.228,-1.23,-0.376,0.001,0.001,26173.0,19175.0,1.0
1|practice_id[A82642],-0.016,0.204,-0.401,0.366,0.001,0.001,24394.0,18642.0,1.0
1|practice_id[A82646],0.678,0.091,0.504,0.845,0.0,0.001,33227.0,19221.0,1.0
1|practice_id[A82647],-0.1,0.091,-0.273,0.068,0.001,0.001,30260.0,19209.0,1.0
1|practice_id[A82650],0.052,0.091,-0.116,0.225,0.001,0.001,31830.0,20403.0,1.0
1|practice_id[A82651],-0.479,0.09,-0.649,-0.311,0.001,0.001,30054.0,19255.0,1.0
1|practice_id[A82654],0.27,0.091,0.105,0.447,0.001,0.001,31049.0,19463.0,1.0
1|practice_id[A83004],0.731,0.094,0.56,0.914,0.001,0.001,28071.0,20414.0,1.0
1|practice_id[A83005],0.046,0.091,-0.125,0.218,0.001,0.001,30039.0,19032.0,1.0
1|practice_id[A83006],-0.029,0.091,-0.197,0.145,0.001,0.001,30775.0,19749.0,1.0
1|practice_id[A83007],0.283,0.09,0.114,0.453,0.001,0.001,30870.0,19789.0,1.0
1|practice_id[A83008],0.04,0.089,-0.13,0.204,0.001,0.001,30318.0,18249.0,1.0
1|practice_id[A83009],0.403,0.09,0.232,0.571,0.001,0.001,28869.0,19653.0,1.0
1|practice_id[A83010],-0.104,0.09,-0.276,0.065,0.001,0.001,29607.0,19986.0,1.0
1|practice_id[A83012],0.487,0.091,0.322,0.661,0.001,0.001,28469.0,19314.0,1.0
1|practice_id[A83013],0.02,0.09,-0.149,0.189,0.001,0.001,31697.0,19601.0,1.0
1|practice_id[A83014],-0.127,0.091,-0.296,0.043,0.001,0.001,29076.0,19262.0,1.0
1|practice_id[A83015],-0.162,0.091,-0.331,0.014,0.001,0.001,31884.0,17943.0,1.0
1|practice_id[A83016],0.582,0.091,0.414,0.755,0.0,0.001,35287.0,20569.0,1.0
1|practice_id[A83017],0.265,0.097,0.087,0.453,0.001,0.001,27470.0,18973.0,1.0
1|practice_id[A83018],0.592,0.09,0.423,0.764,0.001,0.001,29072.0,20332.0,1.0
1|practice_id[A83019],0.143,0.099,-0.051,0.325,0.001,0.001,27478.0,17900.0,1.0
1|practice_id[A83021],0.242,0.089,0.075,0.41,0.001,0.001,29544.0,20665.0,1.0
1|practice_id[A83023],0.283,0.092,0.109,0.454,0.0,0.001,36686.0,20263.0,1.0
1|practice_id[A83024],-0.025,0.09,-0.193,0.143,0.001,0.001,29127.0,20483.0,1.0
1|practice_id[A83025],0.392,0.09,0.222,0.561,0.001,0.001,30377.0,19255.0,1.0
