name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83038],-0.302,0.086,-0.47,-0.13,0.0,0.001,34456.0,19353.0,1.0
1|practice_id[A83040],-0.472,0.085,-0.636,-0.303,0.0,0.001,29483.0,20358.0,1.0
1|practice_id[A83041],0.185,0.086,0.017,0.353,0.001,0.001,29369.0,19630.0,1.0
1|practice_id[A83042],-0.224,0.107,-0.435,-0.015,0.001,0.001,26002.0,18995.0,1.0
1|practice_id[A83043],-0.121,0.086,-0.286,0.051,0.001,0.001,29015.0,19499.0,1.0
1|practice_id[A83044],0.064,0.086,-0.106,0.23,0.0,0.001,31039.0,19445.0,1.0
1|practice_id[A83045],-0.244,0.086,-0.409,-0.076,0.0,0.001,29542.0,19190.0,1.0
1|practice_id[A83046],-0.294,0.086,-0.469,-0.131,0.001,0.001,29417.0,18215.0,1.0
1|practice_id[A83047],0.634,0.086,0.469,0.806,0.0,0.001,29968.0,19145.0,1.0
1|practice_id[A83048],-0.002,0.086,-0.17,0.166,0.0,0.001,29652.0,19186.0,1.0
1|practice_id[A83049],0.351,0.086,0.183,0.521,0.0,0.001,31745.0,19401.0,1.0
1|practice_id[A83050],-0.041,0.087,-0.211,0.129,0.0,0.001,33304.0,18661.0,1.0
1|practice_id[A83051],-0.446,0.086,-0.611,-0.276,0.001,0.001,28749.0,19273.0,1.0
1|practice_id[A83054],0.284,0.086,0.112,0.449,0.001,0.001,28949.0,20013.0,1.0
1|practice_id[A83055],-0.225,0.086,-0.394,-0.058,0.001,0.001,29209.0,19492.0,1.0
1|practice_id[A83057],-0.28,0.086,-0.446,-0.11,0.0,0.001,32238.0,19493.0,1.0
1|practice_id[A83060],0.162,0.087,-0.01,0.329,0.0,0.001,30817.0,19365.0,1.0
1|practice_id[A83061],0.165,0.085,0.001,0.333,0.0,0.001,31443.0,19639.0,1.0
1|practice_id[A83066],0.093,0.086,-0.073,0.264,0.0,0.001,31707.0,18758.0,1.0
1|practice_id[A83068],-0.211,0.209,-0.622,0.198,0.001,0.001,24281.0,18134.0,1.0
1|practice_id[A83070],-0.456,0.087,-0.624,-0.285,0.001,0.001,29065.0,19703.0,1.0
1|practice_id[A83071],0.001,0.086,-0.167,0.165,0.0,0.001,29436.0,19233.0,1.0
1|practice_id[A83073],0.497,0.086,0.327,0.664,0.0,0.001,37764.0,19123.0,1.0
1|practice_id[A83074],0.558,0.086,0.385,0.722,0.0,0.001,31207.0,19885.0,1.0
1|practice_id[A83075],-0.73,0.086,-0.893,-0.56,0.001,0.0,28394.0,20793.0,1.0
1|practice_id[A83076],-0.261,0.103,-0.457,-0.055,0.001,0.001,27732.0,19753.0,1.0
1|practice_id[A83610],0.141,0.086,-0.028,0.306,0.0,0.001,29630.0,19838.0,1.0
1|practice_id[A83616],-0.395,0.087,-0.566,-0.226,0.0,0.001,33631.0,19613.0,1.0
1|practice_id[A83618],0.332,0.085,0.169,0.502,0.0,0.001,32042.0,18629.0,1.0
1|practice_id[A83619],0.003,0.086,-0.167,0.168,0.001,0.001,28833.0,19564.0,1.0
1|practice_id[A83626],-0.254,0.085,-0.424,-0.09,0.0,0.001,29578.0,19750.0,1.0
1|practice_id[A83627],-0.132,0.086,-0.296,0.04,0.0,0.001,29995.0,20120.0,1.0
1|practice_id[A83632],-0.357,0.088,-0.529,-0.186,0.0,0.001,33590.0,18394.0,1.0
1|practice_id[A83634],0.263,0.086,0.094,0.43,0.001,0.001,28726.0,18591.0,1.0
1|practice_id[A83635],0.11,0.086,-0.059,0.276,0.001,0.0,28141.0,20344.0,1.0
