parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
slope_re_offset[3568],0.729,0.243,0.143,1.343,0.101,0.094,6.0,11.0,1.82,107.30065642609921,15.372980166601046,283.0517838776802
slope_re_offset[3569],-0.133,1.19,-2.252,0.697,0.594,0.342,5.0,15.0,2.92,-12.45349078912289,-89.48113632292724,100.77205021801538
slope_re_offset[3570],-0.005,0.696,-1.287,0.655,0.345,0.194,5.0,19.0,2.5,-0.498752080731768,-72.39021646028063,92.51425173763627
slope_re_offset[3571],-0.012,0.346,-0.745,0.96,0.136,0.14,7.0,11.0,1.6,-1.1928287138069482,-52.526570006008754,161.16964734231178
slope_re_offset[3572],0.579,0.115,0.428,0.809,0.053,0.026,6.0,53.0,1.98,78.42532850409398,53.41860809675796,124.56612022692309
slope_re_offset[3573],-0.383,1.251,-1.31,1.967,0.623,0.366,5.0,11.0,2.87,-31.818710071400947,-73.01799436153131,614.9196694681914
slope_re_offset[3574],-0.638,0.171,-1.071,-0.4,0.078,0.066,5.0,17.0,2.36,-47.16519358206091,-65.7334319651607,-32.967995396436066
slope_re_offset[3575],0.195,0.287,-0.369,0.517,0.132,0.104,5.0,11.0,2.05,21.531098648973067,-30.857458954969154,67.69891283107623
slope_re_offset[3576],-0.206,0.32,-0.5,0.606,0.151,0.152,5.0,12.0,2.14,-18.616692371707934,-39.346934028736655,83.30843770260485
slope_re_offset[3577],0.262,0.331,-0.766,0.705,0.147,0.148,6.0,14.0,1.89,29.95265424293818,-53.513117036723166,102.38466849223475
slope_re_offset[3578],-0.276,0.398,-0.585,0.744,0.194,0.191,7.0,11.0,1.73,-24.118706923875866,-44.289413818782606,110.43360464154782
slope_re_offset[3579],0.124,0.16,-0.282,0.394,0.046,0.05,10.0,19.0,1.35,13.201587099917521,-24.572631546691102,48.290054867475305
slope_re_offset[3580],0.687,0.815,-1.123,1.326,0.392,0.269,5.0,17.0,2.7,98.77433493982576,-67.46975779689124,276.59494220747763
slope_re_offset[3581],0.508,0.622,0.081,2.06,0.28,0.196,7.0,26.0,1.63,66.19639409191058,8.437089656676022,684.5969810318448
slope_re_offset[3582],0.199,0.158,-0.287,0.534,0.047,0.057,12.0,13.0,1.41,22.018196589987248,-24.948827116293202,70.5741647451575
slope_re_offset[3583],0.236,0.463,-0.087,1.454,0.209,0.216,6.0,14.0,1.76,26.617431016687988,-8.332290436684776,328.02011236643455
slope_re_offset[3584],0.512,0.426,0.19,1.683,0.184,0.175,7.0,14.0,1.89,66.8625110139667,20.92495976572515,438.1676808200332
slope_re_offset[3585],-0.371,0.372,-1.178,-0.065,0.181,0.11,6.0,30.0,1.78,-30.995605844121098,-69.21060889542794,-6.293253662259657
slope_re_offset[3586],0.228,0.689,-0.228,2.131,0.264,0.295,8.0,17.0,1.58,25.608532543234407,-20.387574016454636,742.3285887087802
slope_re_offset[3587],0.017,0.248,-0.189,0.531,0.12,0.077,5.0,24.0,2.04,1.7145322325240686,-17.221349330526635,70.06320906765498
slope_re_offset[3588],0.133,0.188,-0.325,0.52,0.077,0.087,7.0,14.0,1.66,14.224999833089424,-27.747264635792778,68.20276496988865
slope_re_offset[3589],0.681,0.255,-0.045,0.963,0.109,0.116,6.0,14.0,1.99,97.5852597230606,-4.400251816690015,161.95433272389712
slope_re_offset[3590],-0.079,0.113,-0.248,0.142,0.054,0.027,5.0,27.0,2.5,-7.596007555491324,-21.964005672196574,15.257664853700504
slope_re_offset[3591],-0.405,0.272,-1.269,-0.246,0.096,0.109,9.0,15.0,1.57,-33.302318914152565,-71.8887406137214,-21.807777507452276
