parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_offset[6403],-0.18,0.042,-0.265,-0.103,0.008,0.002,26.0,113.0,1.11,-16.4729788588728,-23.279405002414432,-9.78730265184835
practice_offset[6404],-0.709,0.056,-0.818,-0.604,0.008,0.001,45.0,337.0,1.06,-50.786391243751396,-55.868660073414375,-45.33792258054024
practice_offset[6405],-0.607,0.07,-0.74,-0.465,0.009,0.002,57.0,233.0,1.05,-45.501663079245205,-52.28860844789656,-37.18648948103592
practice_offset[6406],-1.338,0.057,-1.449,-1.226,0.014,0.003,17.0,113.0,1.18,-73.7630116041874,-76.51950242938597,-70.65359105468879
practice_offset[6407],-0.18,0.047,-0.27,-0.085,0.008,0.003,33.0,119.0,1.07,-16.4729788588728,-23.662050566314687,-8.148771559854262
practice_offset[6408],-1.595,0.055,-1.703,-1.486,0.01,0.002,34.0,139.0,1.07,-79.70914714974559,-81.78637052650251,-77.37240484507784
practice_offset[6409],-1.066,0.044,-1.151,-0.981,0.007,0.003,37.0,96.0,1.07,-65.561670078106,-68.36797091247007,-62.50640246544387
practice_offset[6410],-0.29,0.042,-0.378,-0.215,0.008,0.001,27.0,125.0,1.1,-25.173643242143473,-31.476949933412968,-19.345855982267313
practice_offset[6411],-0.355,0.052,-0.458,-0.257,0.011,0.003,21.0,69.0,1.13,-29.882655679142754,-36.74525237926366,-22.663178623455092
practice_offset[6412],-2.548,0.054,-2.658,-2.444,0.011,0.003,23.0,145.0,1.13,-92.17620143993516,-92.99117418221009,-91.31870955858416
practice_offset[6413],2.38,0.054,2.27,2.483,0.013,0.004,18.0,66.0,1.17,980.4902863931258,867.9400814072841,1097.714200056855
practice_offset[6414],-1.253,0.046,-1.346,-1.163,0.006,0.002,54.0,123.0,1.07,-71.43534295471098,-73.97207016214429,-68.7452868381859
practice_offset[6415],-1.267,0.06,-1.383,-1.15,0.017,0.006,12.0,42.0,1.24,-71.83246183492965,-74.9175051627189,-68.33632306209468
practice_offset[6416],-1.008,0.05,-1.103,-0.909,0.012,0.003,18.0,73.0,1.16,-63.50518535455063,-66.81260331299352,-59.70730504131143
practice_offset[6417],-2.092,0.058,-2.204,-1.98,0.007,0.002,64.0,204.0,1.06,-87.65599912447422,-88.96391690265679,-86.19307626891072
practice_offset[6418],-0.583,0.048,-0.673,-0.491,0.007,0.002,45.0,152.0,1.08,-44.17788115092988,-48.982424755917975,-38.79859259986501
practice_offset[6419],-1.466,0.056,-1.575,-1.36,0.01,0.002,34.0,243.0,1.07,-76.91529710136548,-79.29924473188473,-74.33392230464442
practice_offset[6420],-1.044,0.045,-1.131,-0.956,0.01,0.003,21.0,46.0,1.13,-64.79563128980155,-67.72896153713666,-61.55724752496214
practice_offset[6421],-2.644,0.061,-2.76,-2.521,0.011,0.003,31.0,102.0,1.1,-92.89236053921094,-93.67082316403592,-91.96208126408203
practice_offset[6422],-0.64,0.043,-0.723,-0.555,0.008,0.002,30.0,104.0,1.1,-47.270757595695144,-51.47058126114998,-42.592773880356404
practice_offset[6423],2.113,0.053,2.013,2.222,0.012,0.004,21.0,63.0,1.13,727.3023162711262,648.5740917899345,822.5763954558328
practice_offset[6424],0.425,0.054,0.314,0.527,0.008,0.006,44.0,81.0,1.06,52.95904196633787,36.888973654737555,69.38431492486188
practice_offset[6425],-0.52,0.043,-0.605,-0.439,0.005,0.002,79.0,266.0,1.05,-40.54794520298057,-45.39255733602906,-35.53192203701987
practice_offset[6426],-1.297,0.043,-1.38,-1.211,0.007,0.003,36.0,56.0,1.07,-72.66493839665033,-74.84214469402434,-70.210076880059
practice_offset[6427],-0.341,0.04,-0.422,-0.266,0.008,0.002,24.0,93.0,1.1,-28.894109179359027,-34.426596060655825,-23.356087249898096
practice_offset[6428],-0.283,0.04,-0.363,-0.207,0.006,0.001,42.0,309.0,1.06,-24.64802121402827,-30.44135665009049,-18.698035001242896
practice_offset[6429],1.227,0.058,1.114,1.336,0.011,0.002,28.0,152.0,1.1,241.0981227829725,204.65201352794563,280.3797842997153
practice_offset[6430],-1.127,0.052,-1.238,-1.033,0.009,0.002,32.0,157.0,1.08,-67.59961887040859,-71.00364344705967,-64.40624553865646
practice_offset[6431],-1.171,0.045,-1.263,-1.085,0.008,0.004,37.0,47.0,1.08,-68.99432705440248,-71.7195660412096,-66.20982141052869
practice_offset[6432],1.297,0.08,1.133,1.445,0.012,0.004,45.0,121.0,1.09,265.83052729519324,210.49574140202446,324.18521428204355
practice_offset[6433],-0.907,0.044,-0.995,-0.823,0.008,0.002,27.0,170.0,1.09,-59.62663901225367,-63.02765554559411,-56.08876604955303
practice_offset[6434],-0.573,0.037,-0.646,-0.501,0.006,0.001,35.0,266.0,1.07,-43.61685952950444,-47.58618581916646,-39.40755677828125
practice_offset[6435],0.056,0.044,-0.031,0.141,0.008,0.003,28.0,69.0,1.1,5.759768373661123,-3.0524426923974057,15.142464798474409
practice_offset[6436],-1.272,0.058,-1.381,-1.156,0.012,0.003,23.0,112.0,1.12,-71.97294801761885,-74.8672899745946,-68.52573631572182
practice_offset[6437],-2.412,0.067,-2.54,-2.283,0.009,0.007,54.0,52.0,1.07,-91.03641565060016,-92.1133600209325,-89.80221860856128
practice_offset[6438],-1.022,0.037,-1.094,-0.949,0.007,0.001,32.0,131.0,1.08,-64.01255289979404,-66.51256861188698,-61.28720420870596
practice_offset[6439],2.098,0.069,1.958,2.226,0.012,0.005,32.0,91.0,1.08,714.9853894199554,608.5142600219411,826.2740914994835
practice_offset[6440],-1.603,0.055,-1.704,-1.493,0.014,0.003,15.0,84.0,1.19,-79.87082639328509,-81.8045750521961,-77.53024492636465
