,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81047],-0.775,0.143,-1.037,-0.504,0.001,0.001,34004.0,18926.0,1.0
1|practice_id[A81048],0.393,0.09,0.228,0.567,0.0,0.001,39011.0,19434.0,1.0
1|practice_id[A81049],0.87,0.091,0.693,1.035,0.0,0.001,40738.0,19078.0,1.0
1|practice_id[A81051],0.215,0.091,0.042,0.384,0.0,0.001,41641.0,19442.0,1.0
1|practice_id[A81052],-0.106,0.09,-0.278,0.058,0.0,0.001,37191.0,19912.0,1.0
1|practice_id[A81053],0.508,0.091,0.338,0.68,0.0,0.001,36268.0,18632.0,1.0
1|practice_id[A81054],-0.261,0.09,-0.427,-0.088,0.0,0.001,38223.0,19187.0,1.0
1|practice_id[A81056],0.33,0.09,0.156,0.497,0.0,0.001,40207.0,18030.0,1.0
1|practice_id[A81057],-0.097,0.09,-0.265,0.072,0.0,0.001,40464.0,19648.0,1.0
1|practice_id[A81058],0.024,0.091,-0.149,0.193,0.0,0.001,39308.0,19195.0,1.0
1|practice_id[A81060],-0.149,0.09,-0.317,0.021,0.0,0.001,39999.0,18992.0,1.0
1|practice_id[A81063],0.171,0.089,-0.002,0.335,0.0,0.001,34389.0,18084.0,1.0
1|practice_id[A81064],0.27,0.091,0.1,0.442,0.0,0.001,42267.0,18503.0,1.0
1|practice_id[A81065],0.873,0.092,0.701,1.043,0.0,0.001,40073.0,19651.0,1.0
1|practice_id[A81066],-0.103,0.091,-0.272,0.07,0.0,0.001,42291.0,18751.0,1.0
1|practice_id[A81067],0.019,0.091,-0.155,0.186,0.0,0.001,39671.0,20207.0,1.0
1|practice_id[A81069],-1.308,0.224,-1.736,-0.891,0.001,0.002,32297.0,18090.0,1.0
1|practice_id[A81070],0.187,0.09,0.016,0.354,0.0,0.001,37457.0,19151.0,1.0
1|practice_id[A81602],0.289,0.091,0.126,0.468,0.0,0.001,38808.0,17918.0,1.0
