name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[K82053],0.351,0.086,0.181,0.517,0.0,0.001,29829.0,20231.0,1.0
1|practice_id[K82054],-0.019,0.086,-0.188,0.149,0.001,0.001,28592.0,19830.0,1.0
1|practice_id[K82055],0.426,0.085,0.263,0.595,0.0,0.001,31051.0,18870.0,1.0
1|practice_id[K82057],-0.532,0.086,-0.705,-0.366,0.001,0.001,27078.0,19094.0,1.0
1|practice_id[K82058],-0.039,0.087,-0.211,0.127,0.0,0.001,30994.0,19229.0,1.0
1|practice_id[K82059],-0.057,0.085,-0.222,0.108,0.001,0.0,28395.0,19960.0,1.0
1|practice_id[K82060],0.222,0.085,0.053,0.386,0.001,0.0,28855.0,19681.0,1.0
1|practice_id[K82061],0.073,0.084,-0.092,0.238,0.001,0.001,26277.0,19403.0,1.0
1|practice_id[K82062],0.043,0.087,-0.122,0.216,0.001,0.001,29838.0,19478.0,1.0
1|practice_id[K82064],-0.145,0.086,-0.31,0.026,0.001,0.001,29160.0,18668.0,1.0
1|practice_id[K82065],0.046,0.085,-0.12,0.209,0.0,0.001,32946.0,19971.0,1.0
1|practice_id[K82067],0.286,0.085,0.122,0.454,0.0,0.001,30405.0,19047.0,1.0
1|practice_id[K82068],0.046,0.085,-0.125,0.209,0.0,0.001,30394.0,19617.0,1.0
1|practice_id[K82069],-0.53,0.157,-0.845,-0.229,0.001,0.001,27037.0,18569.0,1.0
1|practice_id[K82070],-0.553,0.086,-0.722,-0.385,0.0,0.001,31087.0,19987.0,1.0
1|practice_id[K82071],1.165,0.294,0.59,1.737,0.002,0.002,21860.0,17863.0,1.0
1|practice_id[K82073],0.283,0.086,0.119,0.451,0.0,0.001,29709.0,19153.0,1.0
1|practice_id[K82074],-0.033,0.088,-0.206,0.136,0.0,0.001,30852.0,19317.0,1.0
1|practice_id[K82076],0.428,0.086,0.261,0.598,0.001,0.001,29177.0,20088.0,1.0
1|practice_id[K82078],0.66,0.087,0.49,0.83,0.001,0.001,30153.0,18878.0,1.0
1|practice_id[K82079],-0.047,0.085,-0.215,0.119,0.001,0.001,27588.0,19798.0,1.0
1|practice_id[K82603],-0.104,0.086,-0.27,0.065,0.0,0.001,32035.0,19568.0,1.0
1|practice_id[K82608],0.803,0.295,0.226,1.379,0.002,0.002,24650.0,18479.0,1.0
1|practice_id[K82610],0.091,0.085,-0.078,0.256,0.0,0.001,31395.0,19716.0,1.0
1|practice_id[K82615],-0.364,0.087,-0.533,-0.193,0.001,0.001,28685.0,18916.0,1.0
1|practice_id[K82616],-1.275,0.35,-1.946,-0.581,0.002,0.002,23297.0,18392.0,1.0
1|practice_id[K82617],0.258,0.086,0.089,0.423,0.0,0.001,30653.0,19513.0,1.0
