name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
aqrean_daqi_overall_daqipair2,daqi_pair2,-0.4407982089417395,"(np.float64(-0.6366825247886121), np.float64(-0.24452772779594012))",1.1004149813859264e-05,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_nitrogen_monoxide_high_vs_not,binary_simple,0.2117934757458917,"(np.float64(-0.05901662573536415), np.float64(0.48333739141013243))",0.12542765060773253,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_nitrogen_dioxide_high_vs_not,binary_simple,-1.836526152602136,"(np.float64(-2.2015383186926307), np.float64(-1.4701516554575078))",1.8070043036722301e-22,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_daqi_nitrogen_dioxide_daqipair1,daqi_pair1,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9567,848986,Singular matrix
aqrean_daqi_nitrogen_dioxide_daqipair2,daqi_pair2,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9567,848986,Singular matrix
aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not,binary_simple,-0.10120223807419393,"(np.float64(-0.3813852143666585), np.float64(0.17976876865186675))",0.47982196221878415,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_ozone_high_vs_not,binary_simple,-1.4222234301648484,"(np.float64(-1.7020667978638881), np.float64(-1.1415833792813856))",5.304145004508363e-23,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_daqi_ozone_daqipair1,daqi_pair1,1.529237488723978,"(np.float64(-1.3825585254522932), np.float64(4.5270077068686465))",0.30667040981607874,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_daqi_ozone_daqipair2,daqi_pair2,-1.0220465058786043,"(np.float64(-1.291500357538311), np.float64(-0.7518571007616215))",1.5130115997067673e-13,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_pm2p5_high_vs_not,binary_simple,-1.0838339967075283,"(np.float64(-1.386652347817452), np.float64(-0.7800857618044721))",3.2566798511854493e-12,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_daqi_pm2p5_daqipair1,daqi_pair1,-1.3575738595790643,"(np.float64(-1.7970907516471568), np.float64(-0.916089865926184))",1.9826159471552414e-09,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_daqi_pm2p5_daqipair2,daqi_pair2,-0.6209654767060813,"(np.float64(-0.8583937953768883), np.float64(-0.38296855511804617))",3.325536298406791e-07,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_pm10_high_vs_not,binary_simple,-0.43153380772203986,"(np.float64(-0.7234489593326066), np.float64(-0.138760301798746))",0.0038907679482698405,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
