,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82026],0.313,0.086,0.157,0.477,0.0,0.001,29948.0,19431.0,1.0
1|practice_id[A82027],-0.192,0.086,-0.359,-0.038,0.0,0.001,31087.0,19544.0,1.0
1|practice_id[A82029],-0.096,0.087,-0.256,0.067,0.001,0.001,29202.0,19953.0,1.0
1|practice_id[A82030],-0.281,0.087,-0.45,-0.122,0.0,0.001,31304.0,18733.0,1.0
1|practice_id[A82031],0.26,0.086,0.092,0.416,0.0,0.001,31250.0,20392.0,1.0
1|practice_id[A82032],0.31,0.085,0.15,0.47,0.0,0.001,30110.0,19805.0,1.0
1|practice_id[A82033],0.357,0.086,0.194,0.519,0.001,0.001,29577.0,19228.0,1.0
1|practice_id[A82034],-0.143,0.093,-0.319,0.029,0.001,0.001,28908.0,18720.0,1.0
1|practice_id[A82035],-0.258,0.086,-0.42,-0.099,0.0,0.001,30910.0,19237.0,1.0
1|practice_id[A82036],-0.121,0.085,-0.282,0.038,0.0,0.001,29738.0,20235.0,1.0
1|practice_id[A82037],-0.244,0.086,-0.405,-0.08,0.0,0.001,29930.0,19892.0,1.0
1|practice_id[A82038],0.186,0.085,0.023,0.344,0.0,0.001,29139.0,19613.0,1.0
1|practice_id[A82039],0.014,0.086,-0.152,0.169,0.001,0.001,29083.0,19001.0,1.0
1|practice_id[A82040],-0.568,0.172,-0.885,-0.24,0.001,0.001,23232.0,18858.0,1.0
1|practice_id[A82041],-0.154,0.085,-0.315,0.006,0.0,0.001,30605.0,19729.0,1.0
1|practice_id[A82044],0.545,0.094,0.371,0.725,0.0,0.001,42453.0,16975.0,1.0
1|practice_id[A82045],0.337,0.085,0.179,0.502,0.001,0.001,28164.0,19666.0,1.0
1|practice_id[A82047],-0.426,0.086,-0.593,-0.271,0.001,0.001,27537.0,18258.0,1.0
1|practice_id[A82048],0.386,0.086,0.227,0.549,0.0,0.001,30769.0,19227.0,1.0
1|practice_id[A82049],0.747,0.086,0.585,0.911,0.001,0.001,28560.0,19016.0,1.0
1|practice_id[A82050],0.395,0.086,0.235,0.558,0.0,0.001,29953.0,19321.0,1.0
1|practice_id[A82052],-0.694,0.167,-1.005,-0.375,0.001,0.001,26203.0,18195.0,1.0
1|practice_id[A82053],-0.635,0.086,-0.798,-0.476,0.0,0.001,29490.0,19306.0,1.0
1|practice_id[A82055],0.045,0.086,-0.118,0.206,0.0,0.001,30240.0,19743.0,1.0
1|practice_id[A82057],0.247,0.178,-0.093,0.576,0.001,0.001,24808.0,17844.0,1.0
1|practice_id[A82058],0.032,0.086,-0.129,0.194,0.001,0.001,28002.0,19836.0,1.0
