practice_id,kind,mean_flagged,mean_nonflagged,std_effect_size,n_flagged,n_nonflagged,p_value
H83005,flood,198.68571428571417,-26.24150943396237,0.454952026625571,7,53,0.22229362780614415
H83006,flood,10.828571428571584,-1.4301886792453036,0.031217428868106644,7,53,0.752373805213019
H83007,flood,52.62857142857138,-6.950943396226374,0.16962327061526541,7,53,0.8393370320759659
H83008,flood,-6.199999999999981,0.8188679245282907,-0.055225683687215164,7,53,0.8747175788564326
H83009,flood,154.05714285714294,-20.34716981132066,0.5399866980537623,7,53,0.11738074853065981
H83010,flood,45.0,-5.943396226415146,0.28615352074729455,7,53,0.4473119771113424
H83011,flood,154.3142857142857,-20.38113207547172,0.6015732840180943,7,53,0.18584579478793384
H83012,flood,-28.742857142857115,3.796226415094302,-0.07943982617111885,7,53,0.892502480276635
H83013,flood,217.45714285714283,-28.720754716981197,0.3516972981863247,7,53,0.3895845004537981
H83014,flood,-64.65714285714277,8.539622641509483,-0.31405028459245965,7,53,0.7353000458924972
H83015,flood,26.257142857142885,-3.4679245283018045,0.07616852377944743,7,53,0.8393370320759659
H83016,flood,628.628571428572,-83.02641509433951,0.6732097819850428,7,53,0.06544714505687366
H83017,flood,4.714285714285714,-0.6226415094340824,0.02002664048236306,7,53,0.9632665823254615
H83018,flood,185.7428571428574,-24.53207547169804,0.1221119637918943,7,53,0.2964120166464132
H83019,flood,170.11428571428573,-22.467924528301847,0.8510319685465817,7,53,0.03222990380405457
H83020,flood,37.74285714285725,-4.9849056603772866,0.16518963450301763,7,53,0.7868636481189928
H83021,flood,-33.94285714285713,4.483018867924552,-0.17990149673309616,7,53,0.7183504376358663
H83022,flood,3.142857142857143,-0.4150943396226244,0.023391577599433104,7,53,0.928219261322402
H83023,flood,93.88571428571439,-12.39999999999997,0.25599272766213876,7,53,0.4835422576063628
H83024,flood,63.62857142857138,-8.40377358490574,0.2441317839559757,7,53,0.5420676304816081
H83028,flood,82.25714285714275,-10.864150943396247,0.19485791280989537,7,53,0.5420676304816081
H83029,flood,19.400000000000027,-2.562264150943425,0.07420773959574255,7,53,0.747158781956087
H83030,flood,83.88571428571436,-11.07924528301883,0.5018174331421923,7,53,0.26550443477294494
H83031,flood,59.74285714285712,-7.890566037735833,0.803193305884661,7,53,0.06544714505687366
H83033,flood,104.88571428571433,-13.8528301886792,0.5050040325348802,7,53,0.21025636205586368
H83034,flood,62.88571428571426,-8.305660377358521,0.29649366543810707,7,53,0.36483757981343257
H83037,flood,-8.228571428571415,1.0867924528301869,-0.04555207045202544,7,53,0.8901105202288987
H83039,flood,75.74285714285725,-10.003773584905648,0.252227685007204,7,53,0.35282463089993304
H83040,flood,799.6666666666666,-99.95833333333333,1.0532151659586078,3,57,
H83042,flood,165.62857142857123,-21.87547169811315,0.46909126632319603,7,53,0.36483757981343257
H83043,flood,126.0285714285714,-16.645283018867868,0.3621718580178712,7,53,0.469442318641002
H83044,flood,339.142857142857,-44.79245283018878,0.5457232942066259,7,53,0.25569127036874423
H83049,flood,59.22857142857145,-7.822641509433952,0.4485684959408327,7,53,0.25569127036874423
H83051,flood,297.5142857142857,-39.294339622641516,0.4883860594803061,7,53,0.1816837034336819
H83052,flood,-37.22857142857155,4.916981132075419,-0.2466976478363026,7,53,0.4978588472728556
H83053,flood,-41.428571428571296,5.471698113207547,-0.18653478898906856,7,53,0.4978588472728556
H83608,flood,-94.0857142857144,12.426415094339639,-0.09243831476366594,7,53,0.6037745828065432
H83609,flood,74.68571428571428,-9.864150943396222,0.4600238109829823,7,53,0.35700044201254744
H83611,flood,120.88571428571426,-15.966037735849062,0.46569087992965463,7,53,0.23114115171006844
H83624,flood,-8.685714285714182,1.1471698113207667,-0.03282861193330447,7,53,0.7125464453534921
H83625,flood,633.5,-82.6304347826087,1.0860630954506425,3,57,
H83627,flood,105.54285714285723,-13.939622641509395,0.42661902129642676,7,53,0.3770914513908761
H83631,flood,210.3999999999999,-27.78867924528304,0.5484199531806357,7,53,0.2964120166464132
H84002,flood,-3.400000000000026,0.44905660377350254,-0.018632694978103208,7,53,0.8901105202288987
H84005,flood,-131.5714285714287,17.377358490566056,-0.6848072199483177,7,53,0.10697500827423731
H84006,flood,-35.82857142857146,4.732075471697996,-0.10654196995181123,7,53,0.5725434645241468
H84007,flood,85.80000000000005,-11.332075471698017,0.5550386793076151,7,53,0.33346878768177535
H84010,flood,32.91428571428586,-4.347169811320765,0.20057705636989168,7,53,0.5963684533933032
H84012,flood,147.28571428571428,-19.45283018867921,0.43645391164328534,7,53,0.3182433551423676
H84014,flood,17.428571428571427,-2.301886792452843,0.2443011249020848,7,53,0.5725434645241468
H84015,flood,100.37142857142862,-13.256603773584905,0.33202932588391826,7,53,0.35700044201254744
H84016,flood,24.80000000000005,-3.27547169811318,0.033697726729737455,7,53,1.0
H84017,flood,-161.22857142857134,21.294339622641534,-0.5708753131717391,7,53,0.130670413673582
H84018,flood,38.828571428571585,-5.128301886792396,0.16055560988490147,7,53,0.5725434645241468
H84020,flood,65.28571428571442,-8.62264150943398,0.17975112558419803,7,53,0.7183504376358663
H84023,flood,-57.742857142856984,7.626415094339627,-0.1409908768607824,7,53,0.892502480276635
H84025,flood,-27.257142857142885,3.5999999999999606,-0.1703073056632095,7,53,0.9816284218046435
H84027,flood,-9.371428571428623,1.237735849056559,-0.033685284142878816,7,53,0.9640748384311705
H84030,flood,-39.65714285714265,5.237735849056542,-0.10173716226661306,7,53,0.6037745828065432
H84031,flood,-5.314285714285818,0.7018867924528439,-0.045415954665852014,7,53,0.9816284218046435
H84032,flood,48.94285714285733,-6.464150943396096,0.23672037319626282,7,53,0.5648228169413015
H84033,flood,-61.59999999999991,8.135849056603787,-0.287787250792308,7,53,0.5042648324518593
H84034,flood,61.542857142857166,-8.128301886792439,0.26037539464175113,7,53,0.7695642429193138
H84039,flood,33.05714285714281,-4.36603773584905,0.08436673528921676,7,53,0.7868636481189928
H84040,flood,-21.20000000000021,2.7999999999999243,-0.057103521918268424,7,53,0.9816284218046435
H84041,flood,59.914285714285725,-7.913207547169813,0.3004054129645633,7,53,0.36483757981343257
H84042,flood,-195.6571428571428,25.84150943396222,-0.5785956364100532,7,53,0.13681166562214886
H84044,flood,43.542857142857166,-5.750943396226453,0.2637376197110599,7,53,0.5271259251387831
H84048,flood,48.514285714285634,-6.40754716981137,0.22931370051804859,7,53,0.5420676304816081
H84050,flood,-204.88571428571427,27.060377358490598,-0.7692543418249033,7,53,0.0682308333574137
H84051,flood,62.82857142857152,-8.298113207547113,0.16582356639943424,7,53,0.6701029044065383
H84053,flood,-30.80000000000005,4.067924528301902,-0.20344952304142774,7,53,0.5493647977552614
H84054,flood,30.857142857142826,-4.075471698113199,0.144363238208776,7,53,0.6357160560458108
H84055,flood,171.54285714285717,-22.65660377358484,0.48775967972880807,7,53,0.16708115476285357
H84057,flood,66.71428571428568,-8.811320754716986,0.5406260423920062,7,53,0.26550443477294494
H84059,flood,16.342857142857124,-2.158490566037729,0.15472563596617667,7,53,0.4419072863842004
H84060,flood,103.40000000000002,-13.656603773584918,0.3670748396853386,7,53,0.3770914513908761
H84061,flood,213.28571428571416,-28.169811320754718,0.272583279593055,7,53,0.4284788838066391
H84062,flood,20.39999999999996,-2.6943396226414613,0.08508868795509708,7,53,0.9461340154132919
H84618,flood,22.028571428571468,-2.909433962264113,0.08649831371688654,7,53,0.9640748384311705
H84619,flood,-4.342857142857156,0.5735849056603362,-0.025083800942407433,7,53,0.8393370320759659
H84623,flood,-50.285714285714285,6.641509433962195,-0.3266082629057143,7,53,0.14685622913508026
H84625,flood,77.0857142857144,-10.181132075471636,0.3744865496838408,7,53,0.24612175773546466
H84629,flood,729.0555555555555,-84.1217948717949,1.005121303453479,3,57,
H84630,flood,12.285714285714318,-1.6226415094339923,0.14876395508925638,7,53,0.9724456764793586
H84635,flood,172.94285714285706,-22.841509433962408,0.29982153689721497,7,53,0.41528050300082653
H84639,flood,-0.7714285714285519,0.10188679245284692,-0.01034266909154824,7,53,0.7734612415518298
H85001,flood,166.88571428571439,-22.041509433962194,0.4623081852704493,7,53,0.43366740750357513
H85002,flood,25.200000000000014,-3.3283018867924117,0.13578096766594108,7,53,0.6196594613063898
H85003,flood,-98.14285714285721,12.962264150943277,-0.28119222249996195,7,53,0.469442318641002
H85005,flood,1829.5555555555557,-144.43859649122805,0.9522190186636147,3,57,
H85006,flood,-119.88571428571413,15.83396226415094,-0.49715545850390563,7,53,0.16350500400148185
H85007,flood,-2.257142857142753,0.2981132075472762,-0.006926428475245498,7,53,0.7868636481189928
H85008,flood,186.7428571428571,-24.664150943396223,0.5466328288700854,7,53,0.2755618982694561
H85009,flood,653.0857142857143,-86.25660377358483,0.55500812764577,7,53,0.23679476794460333
H85011,flood,286.40000000000003,-37.826415094339595,0.5771800432912192,7,53,0.36483757981343257
H85012,flood,-24.342857142857092,3.215094339622652,-0.07167673382027959,7,53,0.9640748384311705
H85018,flood,160.94285714285732,-21.256603773584914,0.41484028247541194,7,53,0.26550443477294494
H85020,flood,523.8571428571423,-69.1886792452835,0.31584465911553444,7,53,0.4978588472728556
H85021,flood,23.08571428571427,-3.049056603773532,0.0878930448693955,7,53,0.7183504376358663
H85022,flood,74.19999999999995,-9.799999999999985,0.44362491571326307,7,53,0.3072051013482616
H85023,flood,-11.057142857142805,1.4603773584905935,-0.027502770676844264,7,53,0.6519381216680425
H85024,flood,171.9714285714286,-22.713207547169763,0.5284274401020086,7,53,0.36483757981343257
H85025,flood,-4.742857142857247,0.6264150943396535,-0.006786787457376057,7,53,0.928219261322402
H85026,flood,100.28571428571429,-13.24528301886795,0.26608493102677583,7,53,0.5420676304816081
H85027,flood,153.91428571428574,-20.328301886792367,0.4999376032504331,7,53,0.16708115476285357
H85028,flood,23.457142857142895,-3.0981132075471063,0.18951664245351535,7,53,0.7297818735567709
H85029,flood,155.9428571428572,-20.596226415094225,0.11312743331187078,7,53,0.5420676304816081
H85030,flood,216.05714285714254,-28.535849056603904,0.30634637703941375,7,53,0.4419072863842004
H85031,flood,150.57142857142844,-19.886792452830292,0.4471794697826785,7,53,0.2964120166464132
H85032,flood,-47.77777777777775,3.257575757575761,-0.20835811923353223,3,57,
H85033,flood,128.9428571428572,-17.030188679245306,0.32345464240935695,7,53,0.6683193196020413
H85035,flood,488.3333333333333,-50.51724137931031,0.4433951959632439,3,57,
H85037,flood,120.88571428571413,-15.966037735849174,0.26615556635712256,7,53,0.684852985026783
H85038,flood,10.742857142857247,-1.4188679245281612,0.017150145426076766,7,53,0.5572084570623437
H85041,flood,46.37142857142875,-6.124528301886714,0.12601397241034384,7,53,0.6205373246832581
H85045,flood,-7.88571428571413,1.041509433962398,-0.015867609841694174,7,53,1.0
H85047,flood,146.4571428571427,-19.34339622641514,0.45568190239121326,7,53,0.2755618982694561
H85048,flood,176.71428571428572,-23.339622641509468,0.3615142128548575,7,53,0.2964120166464132
H85049,flood,-52.714285714285744,6.9622641509434,-0.2817408617418218,7,53,0.36483757981343257
H85051,flood,-16.628571428571508,2.1962264150943156,-0.04559932567097776,7,53,1.0
H85052,flood,-91.05714285714281,12.02641509433959,-0.542905946116674,7,53,0.11738074853065981
H85053,flood,148.1142857142858,-19.562264150943392,0.5054640237213311,7,53,0.24023601682457496
H85055,flood,-34.51428571428577,4.558490566037708,-0.1350517222386152,7,53,0.5880673137601988
H85057,flood,-20.457142857142895,2.701886792452831,-0.15113544131413098,7,53,0.45556286769796867
H85061,flood,105.65714285714277,-13.954716981132014,0.21191611129409177,7,53,0.4978588472728556
H85063,flood,-292.91428571428565,38.686792452830254,-0.5796144069152642,7,53,0.2277092238533685
