station_id,kind,mean_flagged,mean_nonflagged,rel_change,n_flagged,n_nonflagged,p_value
B83622,flood,251.75,252.08928571428572,-0.0013458950201831186,4,56,0.9056170078363042
B83626,flood,258.3333333333333,226.24561403508773,0.1418269230762961,3,57,0.06696751625387955
B83627,flood,157.66666666666666,141.8421052631579,0.11156462584955357,3,57,0.3508072357764823
B83628,flood,558.3333333333334,430.17543859649123,0.29792006525216236,3,57,0.024090035608722964
B83629,flood,139.33333333333334,127.08771929824562,0.09635560463756324,3,57,0.2348732685930578
B83641,flood,238.25,267.8392857142857,-0.11047403160169438,4,56,0.32799936304122035
B83642,flood,190.0,178.42105263157896,0.0648967551618781,3,57,0.46574779252404164
B83653,flood,361.3333333333333,302.29824561403507,0.19528756311234804,3,57,0.038525852710172115
B83657,flood,176.66666666666666,177.89473684210526,-0.006903353057160442,3,57,0.9729363104259483
B83659,flood,102.75,106.67857142857143,-0.03682624707029425,4,56,0.9645380694175532
B83660,flood,203.0,189.43859649122808,0.07158733098684189,3,57,0.270172450722985
B83661,flood,162.0,137.96491228070175,0.1742115971503141,3,57,0.04713625194433302
B84001,flood,366.5,389.25,-0.05844572896581003,4,56,0.6143687221950394
B84003,flood,334.5,331.26785714285717,0.009756886421187659,4,56,0.929145171949855
B84007,flood,402.75,440.0357142857143,-0.08473338203048675,4,56,0.6673716608143758
B84008,flood,681.75,698.8928571428571,-0.02452859113901131,4,56,0.940938743508831
B84009,flood,516.0,490.60714285714283,0.05175802576971329,4,56,0.36604259620132984
B84010,flood,507.0,536.8928571428571,-0.05567750947904212,4,56,0.5633192519503948
B84011,flood,487.5,502.7857142857143,-0.03040204574507377,4,56,0.7896730126975103
B84012,flood,955.5,903.5357142857143,0.057512154630554105,4,56,0.6891012197116566
B84013,flood,438.5,413.23214285714283,0.06114688215706224,4,56,0.6565850736889809
B84014,flood,207.25,210.94642857142858,-0.017523067806570675,4,56,0.7443621255647443
B84016,flood,550.0,531.1785714285714,0.03543333557446429,4,56,0.7669456258114635
B84019,flood,820.5,817.9642857142857,0.0031000305636778836,4,56,0.988177537720978
B84021,flood,377.5,370.05357142857144,0.02012256912603736,4,56,0.7669361914468495
B84612,flood,385.25,377.30357142857144,0.021061100856586665,4,56,0.6248553956184537
B84613,flood,455.5,442.5892857142857,0.029170869477440627,4,56,0.8011000987649841
B84618,flood,432.5,410.32142857142856,0.05405170162751215,4,56,0.3660159541758824
B84623,flood,250.25,263.01785714285717,-0.04854368932020388,4,56,0.7782676103741254
B85001,flood,429.3333333333333,353.140350877193,0.21575835858650208,3,57,0.055285986122727886
B85002,flood,144.8,136.83636363636364,0.05819824607982984,5,55,0.6980833119020924
B85004,flood,271.2,252.94545454545454,0.07216791259315919,5,55,0.503682693939052
B85005,flood,293.25,290.0892857142857,0.01089566020310184,4,56,0.9056287574727937
B85006,flood,596.25,571.7857142857143,0.042785758900612154,4,56,0.8125858764839012
B85008,flood,294.6,283.4909090909091,0.039186762442139915,5,55,0.5384273215505139
B85009,flood,577.0,439.89473684210526,0.3116774347923042,3,57,0.010958745203505461
B85010,flood,332.5,311.0892857142857,0.06882498134413326,4,56,0.39827357356820847
B85012,flood,818.3333333333334,654.7017543859649,0.2499330081994146,3,57,0.017578553079240323
B85014,flood,554.3333333333334,472.70175438596493,0.1726915083131739,3,57,0.035458882410296585
B85015,flood,449.6,451.54545454545456,-0.004308435675448466,5,55,0.758363389532279
B85016,flood,539.75,525.6428571428571,0.026837885582229208,4,56,0.964542008787875
B85018,flood,373.6,372.3818181818182,0.0032713246423427406,5,55,0.7080465889810685
B85019,flood,975.0,837.2631578947369,0.16450842343455327,3,57,0.03257871936425595
B85020,flood,445.2,387.8363636363636,0.14790680230612094,5,55,0.1449011209567952
B85021,flood,433.0,403.96491228070175,0.07187527143211601,3,57,0.18022273310417047
B85022,flood,370.0,390.875,-0.053405820274887356,4,56,0.6781951514354676
B85023,flood,364.75,339.01785714285717,0.07590202791655244,4,56,0.7220901364054211
B85024,flood,571.75,516.5892857142857,0.1067786650072254,4,56,0.23003892887183686
B85025,flood,583.3333333333334,547.8421052631579,0.06478368078894252,3,57,0.2629976806144668
B85026,flood,456.6666666666667,350.8421052631579,0.3016301630154419,3,57,0.014591873912288634
B85027,flood,440.5,425.10714285714283,0.03620935898504468,4,56,0.6353460524418921
B85028,flood,708.0,685.0,0.03357664233571741,4,56,0.9763566857362441
B85030,flood,550.0,466.7368421052632,0.1783942264317332,3,57,0.05972338304002183
B85031,flood,329.0,272.6140350877193,0.20683441662836807,3,57,0.026284235615655783
B85032,flood,259.0,237.83928571428572,0.08897064344132571,4,56,0.342742083714355
B85033,flood,228.5,230.92857142857142,-0.010516548097696444,4,56,0.8705074632827658
B85036,flood,348.75,339.85714285714283,0.026166456494248428,4,56,0.6248313451656562
B85037,flood,240.25,228.14285714285714,0.053068252974094274,4,56,0.7444101251536597
B85038,flood,344.2,341.9818181818182,0.006486256579278097,5,55,0.8097454523158624
B85041,flood,700.2,681.1818181818181,0.02791939143196236,5,55,0.6113160446828938
B85042,flood,468.0,459.10714285714283,0.019369894982454946,4,56,0.5434545308188184
B85044,flood,154.5,117.67857142857143,0.3128983308015899,4,56,0.05979101070684284
B85048,flood,187.5,149.75,0.2520868113505704,4,56,0.07530036705794231
B85051,flood,378.75,348.10714285714283,0.08802708525674936,4,56,0.1922079327455296
B85054,flood,536.5,532.3928571428571,0.007714496545232771,4,56,0.9056274521743185
B85055,flood,771.0,638.6315789473684,0.20726883138256647,3,57,0.04183266565685659
B85058,flood,94.75,87.67857142857143,0.08065173115997624,4,56,0.24747187908660317
B85059,flood,284.25,292.2857142857143,-0.02749266862160679,4,56,0.9881762235531252
B85060,flood,113.25,103.53571428571429,0.09382545705325032,4,56,0.16793781103027283
B85061,flood,535.0,480.5438596491228,0.11332189405255527,3,57,0.0777575689925799
B85062,flood,147.75,136.66071428571428,0.08114464915659957,4,56,0.5239536402740868
B85606,flood,145.2,150.54545454545453,-0.035507246376575735,5,55,0.9679919932381124
B85610,flood,515.0,512.8571428571429,0.0041782729804931825,4,56,0.9645415164383798
B85611,flood,141.0,115.48214285714286,0.22096799133873907,4,56,0.03792937300549498
B85612,flood,252.0,198.75438596491227,0.26789654867902996,3,57,0.053164402274248235
B85614,flood,291.0,294.64285714285717,-0.012363636363594485,4,56,0.755652044092334
B85619,flood,194.66666666666666,149.80701754385964,0.29944958425845314,3,57,0.013911017039467316
B85620,flood,128.8,116.38181818181818,0.10670207779942702,5,55,0.3993181320258824
B85623,flood,166.0,147.75,0.12351945854400326,4,56,0.26633110901903556
B85634,flood,133.25,139.60714285714286,-0.04553594269601564,4,56,0.9763530722872179
B85636,flood,325.25,294.3392857142857,0.1050172905414135,4,56,0.8938879907367677
B85640,flood,145.0,130.6140350877193,0.11014103425033213,3,57,0.15416780730803842
B85641,flood,280.5,241.83928571428572,0.15986118289825352,4,56,0.13834948736890554
B85645,flood,83.6,80.21818181818182,0.04215775158605643,5,55,0.4864430996102035
B85646,flood,302.0,307.7090909090909,-0.01855353344356999,5,55,0.7380849495672723
B85650,flood,184.33333333333334,162.43859649122808,0.1347877740568438,3,57,0.2033208215290382
B85652,flood,344.6,302.3272727272727,0.13982439259034832,5,55,0.1642528394928866
B85655,flood,123.2,126.52727272727273,-0.026296881735673763,5,55,0.8830215374554355
B85659,flood,38.25,40.375,-0.05263157894606486,4,56,0.9291088051108387
B85660,flood,287.0,285.92857142857144,0.0037471896077809924,4,56,0.8356432902260169
B86002,flood,462.2,453.96363636363634,0.018143223325817158,5,55,0.5743112384876619
B86003,flood,647.6,626.3090909090909,0.03399425203931067,5,55,0.2786866033820584
B86004,flood,326.4,350.09090909090907,-0.06767073487386539,5,55,0.6492967287490494
B86005,flood,171.4,165.4909090909091,0.03570643814524676,5,55,0.6492603495259904
B86006,flood,747.75,713.1785714285714,0.048475136461447355,4,56,0.3354216909918344
B86007,flood,406.5,393.98214285714283,0.03177265104465495,4,56,0.23578471198598883
B86008,flood,786.6,757.8909090909091,0.0378802418193532,5,55,0.4379327486198087
B86009,flood,446.5,386.75,0.1544925662568727,4,56,0.09402233057795693
B86010,flood,549.5,479.51785714285717,0.14594272520730742,4,56,0.059833617279906014
B86011,flood,408.6666666666667,319.9298245614035,0.27736345689757574,3,57,0.04721917186432803
B86012,flood,592.8,549.6727272727272,0.07845991002896549,5,55,0.3920548633010552
B86013,flood,645.0,612.5090909090909,0.05304559487049047,5,55,0.39203512806630225
B86014,flood,550.8,543.3090909090909,0.013787564420026845,5,55,0.789103319035364
B86015,flood,556.6,535.5090909090909,0.039384782534812604,5,55,0.6589445421583306
B86016,flood,752.75,735.9107142857143,0.022882240178561934,4,56,0.8705199468441763
B86017,flood,458.6,441.3636363636364,0.03905252317189919,5,55,0.5384329656915828
B86018,flood,390.0,331.10526315789474,0.17787315212154195,3,57,0.041829821454194394
B86019,flood,450.4,429.4,0.048905449464255,5,55,0.8619706819913453
B86020,flood,634.0,564.6071428571429,0.12290467455225237,4,56,0.04545374645792169
B86022,flood,451.25,440.82142857142856,0.023657133597937138,4,56,0.52400554315186
B86024,flood,439.2,453.03636363636366,-0.030541397439431798,5,55,0.8514741639993013
B86025,flood,352.2,341.8545454545455,0.030262738006506428,5,55,0.7080504596128511
B86028,flood,264.8,257.74545454545455,0.027370203160164717,5,55,0.6981152279902998
B86029,flood,230.33333333333334,206.68421052631578,0.11442152618567857,3,57,0.18579379902671123
B86030,flood,357.6,343.4909090909091,0.0410755875501663,5,55,0.40698040742510877
B86032,flood,812.6666666666666,680.561403508772,0.19411218807973118,3,57,0.04536723280977385
B86033,flood,666.75,572.7142857142857,0.16419306560210803,4,56,0.02338459958331559
B86034,flood,339.75,319.10714285714283,0.06468942361479457,4,56,0.3819356717229778
B86035,flood,470.8,474.1636363636364,-0.007093830284888623,5,55,0.9573368929176097
B86036,flood,475.75,461.05357142857144,0.03187575041629087,4,56,0.5633300948146953
B86038,flood,480.3333333333333,431.42105263157896,0.11337481192279841,3,57,0.17483681310563814
B86039,flood,249.8,252.78181818181818,-0.011796015248460806,5,55,0.7080117463722153
B86041,flood,349.4,344.8545454545455,0.013180787683833647,5,55,0.7685658661560155
B86042,flood,679.4,653.6727272727272,0.03935803293273911,5,55,0.5926687582173468
B86043,flood,351.0,324.25,0.08249807247468775,4,56,0.22429824833803058
B86044,flood,1072.8,986.0545454545454,0.08797226780733432,5,55,0.26699618726036156
B86048,flood,746.25,689.6428571428571,0.0820818228895755,4,56,0.2927232908437669
B86049,flood,271.4,273.8,-0.008765522279003903,5,55,0.8724813825956795
B86050,flood,1171.3333333333333,960.8947368421053,0.2190027569331856,3,57,0.06211067844236981
B86051,flood,565.6666666666666,543.1754385964912,0.041406931300592385,3,57,0.47628914329129424
B86052,flood,515.3333333333334,425.8070175438597,0.21025091673140853,3,57,0.07222167178479023
B86054,flood,296.25,303.60714285714283,-0.02423244324189164,4,56,0.9527269103748043
B86055,flood,274.25,229.69642857142858,0.19396719272247043,4,56,0.023342292127041166
B86057,flood,834.0,795.7454545454545,0.04807384727864908,5,55,0.4458657837693626
B86059,flood,654.6,643.9090909090909,0.016603134265116188,5,55,0.7788232697129893
B86060,flood,482.0,474.3090909090909,0.016214972975010847,5,55,0.4701511320219657
B86061,flood,166.75,145.76785714285714,0.1439421781198015,4,56,0.285965005378504
B86062,flood,369.75,322.2857142857143,0.14727393616975584,4,56,0.07062247693056041
B86064,flood,849.0,810.1636363636363,0.047936443816004974,5,55,0.5926893183025719
B86066,flood,470.25,449.3392857142857,0.046536581488590134,4,56,0.30654463156363043
B86067,flood,722.6,711.4909090909091,0.015613819891626853,5,55,0.6301976734884954
B86068,flood,271.8,263.3454545454546,0.03210439105207356,5,55,0.3845408018422045
B86069,flood,378.2,362.5090909090909,0.043284180960859626,5,55,0.5209002719806575
