,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81060],-0.233,0.088,-0.399,-0.069,0.0,0.001,33976.0,20033.0,1.0
1|practice_id[A81063],-0.272,0.088,-0.434,-0.105,0.0,0.001,35007.0,19750.0,1.0
1|practice_id[A81064],-0.041,0.088,-0.204,0.125,0.0,0.001,33923.0,19409.0,1.0
1|practice_id[A81065],0.277,0.089,0.111,0.445,0.0,0.001,32416.0,20052.0,1.0
1|practice_id[A81066],-0.127,0.088,-0.29,0.041,0.001,0.001,29550.0,19278.0,1.0
1|practice_id[A81067],-0.208,0.089,-0.371,-0.042,0.001,0.001,28044.0,19658.0,1.0
1|practice_id[A81069],-0.918,0.225,-1.334,-0.493,0.001,0.001,25819.0,17839.0,1.0
1|practice_id[A81070],0.335,0.088,0.17,0.503,0.0,0.001,31192.0,19463.0,1.0
1|practice_id[A81602],0.439,0.089,0.267,0.601,0.0,0.001,31850.0,20289.0,1.0
1|practice_id[A81605],-0.775,0.187,-1.122,-0.42,0.001,0.001,22503.0,18017.0,1.0
1|practice_id[A81608],-0.176,0.089,-0.339,-0.009,0.0,0.001,32904.0,20593.0,1.0
1|practice_id[A81609],0.276,0.21,-0.115,0.672,0.001,0.001,26317.0,18938.0,1.0
1|practice_id[A81610],-0.16,0.089,-0.328,0.008,0.0,0.001,34198.0,20361.0,1.0
1|practice_id[A81611],-0.042,0.089,-0.209,0.127,0.0,0.001,34696.0,20068.0,1.0
1|practice_id[A81612],0.11,0.088,-0.053,0.275,0.0,0.001,32126.0,19239.0,1.0
1|practice_id[A81613],-0.6,0.169,-0.927,-0.292,0.001,0.001,24439.0,18833.0,1.0
1|practice_id[A81618],-0.01,0.088,-0.172,0.16,0.0,0.001,32223.0,19305.0,1.0
1|practice_id[A81621],0.06,0.089,-0.105,0.23,0.0,0.001,34455.0,19829.0,1.0
1|practice_id[A81622],0.062,0.087,-0.105,0.223,0.001,0.001,29628.0,19054.0,1.0
1|practice_id[A81623],0.032,0.219,-0.373,0.45,0.001,0.001,26452.0,19369.0,1.0
1|practice_id[A81629],-0.034,0.09,-0.2,0.136,0.0,0.001,35111.0,19319.0,1.0
1|practice_id[A81630],0.013,0.089,-0.157,0.176,0.0,0.001,36095.0,20045.0,1.0
1|practice_id[A81631],-0.13,0.088,-0.297,0.036,0.0,0.001,36607.0,19112.0,1.0
1|practice_id[A81632],-0.194,0.095,-0.378,-0.02,0.001,0.001,29619.0,20162.0,1.0
1|practice_id[A81633],-0.171,0.089,-0.334,-0.0,0.0,0.001,33339.0,19853.0,1.0
1|practice_id[A81634],-0.036,0.088,-0.2,0.13,0.0,0.001,32412.0,19547.0,1.0
1|practice_id[A82003],0.443,0.087,0.28,0.607,0.001,0.001,30282.0,19241.0,1.0
1|practice_id[A82004],0.27,0.088,0.107,0.439,0.0,0.001,31314.0,19148.0,1.0
1|practice_id[A82005],0.019,0.088,-0.148,0.177,0.0,0.001,32690.0,19758.0,1.0
1|practice_id[A82006],-0.054,0.088,-0.218,0.114,0.0,0.001,31217.0,19131.0,1.0
1|practice_id[A82007],-0.057,0.088,-0.224,0.106,0.0,0.001,32425.0,20507.0,1.0
1|practice_id[A82008],-0.129,0.088,-0.295,0.034,0.0,0.001,33581.0,19188.0,1.0
1|practice_id[A82009],0.209,0.088,0.048,0.381,0.001,0.001,29710.0,18343.0,1.0
1|practice_id[A82010],0.441,0.088,0.28,0.609,0.0,0.001,32242.0,19663.0,1.0
1|practice_id[A82011],-0.024,0.26,-0.515,0.457,0.002,0.002,27978.0,17989.0,1.0
1|practice_id[A82012],0.029,0.088,-0.138,0.192,0.0,0.001,31877.0,20131.0,1.0
1|practice_id[A82013],0.112,0.088,-0.047,0.282,0.0,0.001,31227.0,19239.0,1.0
1|practice_id[A82014],0.894,0.088,0.732,1.062,0.0,0.001,31423.0,19395.0,1.0
1|practice_id[A82015],-0.114,0.088,-0.282,0.05,0.001,0.001,30255.0,18770.0,1.0
1|practice_id[A82016],0.216,0.088,0.051,0.381,0.0,0.001,31169.0,20103.0,1.0
1|practice_id[A82017],-0.051,0.173,-0.366,0.285,0.001,0.001,25125.0,18441.0,1.0
1|practice_id[A82018],0.009,0.087,-0.152,0.177,0.0,0.001,30465.0,19747.0,1.0
1|practice_id[A82019],0.419,0.088,0.254,0.586,0.0,0.001,31932.0,19794.0,1.0
1|practice_id[A82020],0.075,0.088,-0.091,0.24,0.0,0.001,32333.0,19839.0,1.0
1|practice_id[A82021],0.192,0.088,0.025,0.356,0.0,0.001,31235.0,19269.0,1.0
1|practice_id[A82022],-0.155,0.089,-0.323,0.014,0.001,0.001,31194.0,19596.0,1.0
1|practice_id[A82023],0.004,0.089,-0.17,0.166,0.001,0.001,31075.0,19678.0,1.0
1|practice_id[A82024],-0.247,0.088,-0.414,-0.085,0.0,0.001,31977.0,19226.0,1.0
1|practice_id[A82025],-0.17,0.087,-0.339,-0.011,0.0,0.001,33598.0,20372.0,1.0
1|practice_id[A82026],0.083,0.088,-0.081,0.249,0.0,0.001,34982.0,19806.0,1.0
1|practice_id[A82027],-0.298,0.088,-0.462,-0.13,0.0,0.001,33692.0,18927.0,1.0
1|practice_id[A82029],0.146,0.088,-0.015,0.313,0.0,0.001,34128.0,19490.0,1.0
1|practice_id[A82030],0.075,0.088,-0.089,0.243,0.0,0.001,33735.0,19757.0,1.0
1|practice_id[A82031],0.234,0.088,0.068,0.399,0.0,0.001,31755.0,19542.0,1.0
1|practice_id[A82032],0.079,0.088,-0.084,0.249,0.0,0.001,31843.0,19397.0,1.0
1|practice_id[A82033],0.429,0.088,0.262,0.595,0.001,0.001,30534.0,18963.0,1.0
1|practice_id[A82034],0.309,0.094,0.135,0.491,0.001,0.001,29991.0,19708.0,1.0
1|practice_id[A82035],0.347,0.087,0.19,0.518,0.001,0.001,27975.0,18165.0,1.0
1|practice_id[A82036],0.029,0.088,-0.131,0.199,0.0,0.001,32693.0,20230.0,1.0
1|practice_id[A82037],-0.202,0.089,-0.375,-0.042,0.001,0.001,30910.0,19799.0,1.0
1|practice_id[A82038],0.077,0.088,-0.085,0.247,0.0,0.001,33727.0,19223.0,1.0
1|practice_id[A82039],0.447,0.088,0.289,0.618,0.0,0.001,33164.0,19983.0,1.0
1|practice_id[A82040],-0.568,0.168,-0.885,-0.248,0.001,0.001,26624.0,18773.0,1.0
1|practice_id[A82041],-0.162,0.088,-0.326,0.001,0.0,0.001,32316.0,19300.0,1.0
