name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81056],-0.039,0.088,-0.215,0.131,0.0,0.001,32908.0,20123.0,1.0
1|practice_id[A81057],-0.083,0.088,-0.256,0.088,0.0,0.001,31416.0,19773.0,1.0
1|practice_id[A81058],-0.103,0.088,-0.279,0.067,0.001,0.001,30792.0,19553.0,1.0
1|practice_id[A81060],-0.234,0.088,-0.411,-0.068,0.0,0.001,31782.0,20250.0,1.0
1|practice_id[A81063],-0.273,0.089,-0.445,-0.096,0.0,0.001,33426.0,18692.0,1.0
1|practice_id[A81064],-0.041,0.09,-0.216,0.134,0.0,0.001,33981.0,20265.0,1.0
1|practice_id[A81065],0.277,0.09,0.093,0.448,0.001,0.001,31771.0,19928.0,1.0
1|practice_id[A81066],-0.127,0.089,-0.303,0.044,0.001,0.001,30958.0,18865.0,1.0
1|practice_id[A81067],-0.207,0.088,-0.38,-0.036,0.001,0.001,30989.0,19736.0,1.0
1|practice_id[A81069],-0.92,0.221,-1.356,-0.495,0.001,0.001,24422.0,18422.0,1.0
1|practice_id[A81070],0.334,0.088,0.159,0.506,0.001,0.001,29833.0,19160.0,1.0
1|practice_id[A81602],0.439,0.089,0.263,0.613,0.0,0.001,32945.0,19383.0,1.0
1|practice_id[A81605],-0.77,0.188,-1.144,-0.407,0.001,0.001,23371.0,17413.0,1.0
1|practice_id[A81608],-0.176,0.088,-0.354,-0.007,0.0,0.001,31394.0,19767.0,1.0
1|practice_id[A81609],0.276,0.211,-0.131,0.691,0.001,0.001,25467.0,18208.0,1.0
1|practice_id[A81610],-0.159,0.088,-0.332,0.014,0.0,0.001,34205.0,19504.0,1.0
1|practice_id[A81611],-0.043,0.089,-0.213,0.135,0.001,0.001,30214.0,19323.0,1.0
1|practice_id[A81612],0.109,0.088,-0.071,0.276,0.001,0.001,27921.0,19754.0,1.0
1|practice_id[A81613],-0.601,0.169,-0.933,-0.269,0.001,0.001,24077.0,18864.0,1.0
1|practice_id[A81618],-0.008,0.088,-0.18,0.164,0.001,0.001,30109.0,19539.0,1.0
1|practice_id[A81621],0.06,0.088,-0.114,0.228,0.001,0.001,29967.0,19974.0,1.0
1|practice_id[A81622],0.061,0.089,-0.111,0.234,0.0,0.001,32434.0,19336.0,1.0
1|practice_id[A81623],0.031,0.216,-0.387,0.456,0.001,0.001,23945.0,19383.0,1.0
1|practice_id[A81629],-0.033,0.088,-0.2,0.142,0.001,0.001,28960.0,19224.0,1.0
1|practice_id[A81630],0.013,0.088,-0.162,0.184,0.001,0.001,31033.0,17658.0,1.0
1|practice_id[A81631],-0.132,0.088,-0.303,0.041,0.001,0.001,28121.0,19501.0,1.0
1|practice_id[A81632],-0.195,0.095,-0.38,-0.011,0.001,0.001,32072.0,18387.0,1.0
1|practice_id[A81633],-0.171,0.089,-0.353,-0.0,0.0,0.001,32694.0,20033.0,1.0
1|practice_id[A81634],-0.036,0.088,-0.213,0.133,0.001,0.001,30146.0,19001.0,1.0
1|practice_id[A82003],0.441,0.089,0.267,0.614,0.001,0.001,30253.0,18752.0,1.0
1|practice_id[A82004],0.267,0.088,0.089,0.434,0.001,0.001,30137.0,19402.0,1.0
1|practice_id[A82005],0.02,0.088,-0.155,0.185,0.0,0.001,31645.0,20320.0,1.0
1|practice_id[A82006],-0.057,0.087,-0.226,0.115,0.001,0.001,28684.0,19683.0,1.0
1|practice_id[A82007],-0.061,0.088,-0.238,0.112,0.001,0.001,29078.0,18549.0,1.0
1|practice_id[A82008],-0.133,0.089,-0.313,0.032,0.001,0.001,29319.0,19172.0,1.0
1|practice_id[A82009],0.205,0.089,0.022,0.371,0.001,0.001,31633.0,19414.0,1.0
1|practice_id[A82010],0.437,0.089,0.265,0.612,0.001,0.001,27347.0,18646.0,1.0
1|practice_id[A82011],-0.022,0.259,-0.521,0.489,0.002,0.002,24218.0,17856.0,1.0
